,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LBY,Africa,Libya,2020-03-04,,,,,,,,,3.0,3.0,0.0,0.0,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
1,LBY,Africa,Libya,2020-03-05,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
2,LBY,Africa,Libya,2020-03-06,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
3,LBY,Africa,Libya,2020-03-07,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
4,LBY,Africa,Libya,2020-03-08,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
5,LBY,Africa,Libya,2020-03-09,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
6,LBY,Africa,Libya,2020-03-10,,,,,,,,,,,,,,,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
7,LBY,Africa,Libya,2020-03-11,,,,,,,,,,,,,0.0,0.0,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
8,LBY,Africa,Libya,2020-03-12,,,,,,,,,,,,,0.0,0.0,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
9,LBY,Africa,Libya,2020-03-13,,,,,,,,,,,,,0.0,0.0,samples tested,5.56,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
10,LBY,Africa,Libya,2020-03-14,,,,,,,,,4.0,1.0,0.001,0.0,0.0,0.0,samples tested,23.15,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
11,LBY,Africa,Libya,2020-03-15,,,,,,,,,,,,,1.0,0.0,samples tested,34.26,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
12,LBY,Africa,Libya,2020-03-16,,,,,,,,,11.0,7.0,0.002,0.001,1.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
13,LBY,Africa,Libya,2020-03-17,,,,,,,,,16.0,5.0,0.002,0.001,2.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
14,LBY,Africa,Libya,2020-03-18,,,,,,,,,23.0,7.0,0.003,0.001,3.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
15,LBY,Africa,Libya,2020-03-19,,,,,,,,,,,,,3.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
16,LBY,Africa,Libya,2020-03-20,,,,,,,,,26.0,3.0,0.004,0.0,3.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
17,LBY,Africa,Libya,2020-03-21,,,,,,,,,28.0,2.0,0.004,0.0,3.0,0.0,samples tested,39.81,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
18,LBY,Africa,Libya,2020-03-22,,,,,,,,,30.0,2.0,0.004,0.0,3.0,0.0,samples tested,77.78,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
19,LBY,Africa,Libya,2020-03-23,,,,,,,,,31.0,1.0,0.005,0.0,3.0,0.0,samples tested,77.78,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
20,LBY,Africa,Libya,2020-03-24,,,,,,,,,57.0,26.0,0.008,0.004,6.0,0.001,samples tested,90.74,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
21,LBY,Africa,Libya,2020-03-25,1.0,1.0,,0.0,0.146,0.146,,0.0,86.0,29.0,0.013000000000000001,0.004,9.0,0.001,samples tested,90.74,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,10.43,,,,3.7,72.91
