,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LUX,Europe,Luxembourg,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
1,LUX,Europe,Luxembourg,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
2,LUX,Europe,Luxembourg,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
3,LUX,Europe,Luxembourg,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
4,LUX,Europe,Luxembourg,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
5,LUX,Europe,Luxembourg,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
6,LUX,Europe,Luxembourg,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
7,LUX,Europe,Luxembourg,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
8,LUX,Europe,Luxembourg,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
9,LUX,Europe,Luxembourg,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
10,LUX,Europe,Luxembourg,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
11,LUX,Europe,Luxembourg,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
12,LUX,Europe,Luxembourg,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
13,LUX,Europe,Luxembourg,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
14,LUX,Europe,Luxembourg,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
15,LUX,Europe,Luxembourg,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,,4.42,20.9,26.0,,4.51,82.25
