,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MDG,Africa,Madagascar,2020-03-21,3.0,3.0,,0.0,0.10800000000000001,0.10800000000000001,,0.0,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
1,MDG,Africa,Madagascar,2020-03-22,3.0,0.0,,0.0,0.10800000000000001,0.0,,0.0,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
2,MDG,Africa,Madagascar,2020-03-23,3.0,0.0,,0.0,0.10800000000000001,0.0,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
3,MDG,Africa,Madagascar,2020-03-24,17.0,14.0,,0.0,0.614,0.506,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
4,MDG,Africa,Madagascar,2020-03-25,19.0,2.0,,0.0,0.6859999999999999,0.07200000000000001,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
5,MDG,Africa,Madagascar,2020-03-26,19.0,0.0,,0.0,0.6859999999999999,0.0,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
6,MDG,Africa,Madagascar,2020-03-27,23.0,4.0,,0.0,0.831,0.14400000000000002,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
7,MDG,Africa,Madagascar,2020-03-28,24.0,1.0,,0.0,0.867,0.036000000000000004,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
8,MDG,Africa,Madagascar,2020-03-29,28.0,4.0,,0.0,1.011,0.14400000000000002,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
9,MDG,Africa,Madagascar,2020-03-30,37.0,9.0,,0.0,1.3359999999999999,0.325,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
10,MDG,Africa,Madagascar,2020-03-31,44.0,7.0,,0.0,1.589,0.253,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
11,MDG,Africa,Madagascar,2020-04-01,46.0,2.0,,0.0,1.661,0.07200000000000001,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
12,MDG,Africa,Madagascar,2020-04-02,54.0,8.0,,0.0,1.95,0.289,,0.0,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,,3.94,,,50.54,0.2,67.04
