,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MWI,Africa,Malawi,2020-03-29,,,,,,,,,18.0,,0.001,,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
1,MWI,Africa,Malawi,2020-03-30,,,,,,,,,35.0,17.0,0.002,0.001,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
2,MWI,Africa,Malawi,2020-03-31,,,,,,,,,,,,,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
3,MWI,Africa,Malawi,2020-04-01,,,,,,,,,86.0,,0.004,,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
4,MWI,Africa,Malawi,2020-04-02,,,,,,,,,88.0,2.0,0.005,0.0,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
5,MWI,Africa,Malawi,2020-04-03,3.0,3.0,,0.0,0.157,0.157,,0.0,93.0,5.0,0.005,0.0,,,samples tested,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
6,MWI,Africa,Malawi,2020-04-04,3.0,0.0,,0.0,0.157,0.0,,0.0,122.0,29.0,0.006,0.002,,,samples tested,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
7,MWI,Africa,Malawi,2020-04-05,4.0,1.0,,0.0,0.209,0.052000000000000005,,0.0,123.0,1.0,0.006,0.0,15.0,0.001,samples tested,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
8,MWI,Africa,Malawi,2020-04-06,4.0,0.0,,0.0,0.209,0.0,,0.0,143.0,20.0,0.006999999999999999,0.001,15.0,0.001,samples tested,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
9,MWI,Africa,Malawi,2020-04-07,5.0,1.0,,0.0,0.261,0.052000000000000005,,0.0,145.0,2.0,0.008,0.0,12.0,0.001,samples tested,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,,3.94,4.4,24.7,8.704,1.3,64.26
