,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MDV,Asia,Maldives,2020-03-08,2.0,2.0,,0.0,3.7,3.7,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
1,MDV,Asia,Maldives,2020-03-09,4.0,2.0,,0.0,7.4,3.7,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
2,MDV,Asia,Maldives,2020-03-11,6.0,2.0,,0.0,11.1,3.7,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
3,MDV,Asia,Maldives,2020-03-12,8.0,2.0,,0.0,14.8,3.7,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
4,MDV,Asia,Maldives,2020-03-14,9.0,1.0,,0.0,16.65,1.85,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
5,MDV,Asia,Maldives,2020-03-15,9.0,0.0,,0.0,16.65,0.0,,0.0,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
6,MDV,Asia,Maldives,2020-03-16,13.0,4.0,,0.0,24.05,7.4,,0.0,221.0,,0.409,,,,samples tested,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
7,MDV,Asia,Maldives,2020-03-17,13.0,0.0,,0.0,24.05,0.0,,0.0,254.0,33.0,0.47,0.061,,,samples tested,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
8,MDV,Asia,Maldives,2020-03-18,13.0,0.0,,0.0,24.05,0.0,,0.0,463.0,209.0,0.857,0.387,,,samples tested,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
9,MDV,Asia,Maldives,2020-03-19,13.0,0.0,,0.0,24.05,0.0,,0.0,519.0,56.0,0.96,0.10400000000000001,,,samples tested,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,,9.19,2.1,55.0,95.803,,78.92
