,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MLI,Africa,Mali,2020-03-26,2.0,2.0,,0.0,0.099,0.099,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
1,MLI,Africa,Mali,2020-03-27,4.0,2.0,,0.0,0.198,0.099,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
2,MLI,Africa,Mali,2020-03-28,4.0,0.0,,0.0,0.198,0.0,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
3,MLI,Africa,Mali,2020-03-29,9.0,5.0,,0.0,0.444,0.247,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
4,MLI,Africa,Mali,2020-03-30,18.0,9.0,,0.0,0.889,0.444,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
5,MLI,Africa,Mali,2020-03-31,18.0,0.0,,0.0,0.889,0.0,,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
6,MLI,Africa,Mali,2020-04-01,18.0,0.0,1.0,1.0,0.889,0.0,0.049,0.049,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
7,MLI,Africa,Mali,2020-04-02,28.0,10.0,1.0,0.0,1.383,0.494,0.049,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
8,MLI,Africa,Mali,2020-04-03,36.0,8.0,3.0,2.0,1.778,0.395,0.14800000000000002,0.099,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
9,MLI,Africa,Mali,2020-04-04,39.0,3.0,3.0,0.0,1.926,0.14800000000000002,0.14800000000000002,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
10,MLI,Africa,Mali,2020-04-05,41.0,2.0,3.0,0.0,2.025,0.099,0.14800000000000002,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
11,MLI,Africa,Mali,2020-04-06,45.0,4.0,5.0,2.0,2.222,0.198,0.247,0.099,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
12,MLI,Africa,Mali,2020-04-07,47.0,2.0,5.0,0.0,2.3209999999999997,0.099,0.247,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
13,MLI,Africa,Mali,2020-04-08,56.0,9.0,5.0,0.0,2.765,0.444,0.247,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
14,MLI,Africa,Mali,2020-04-09,59.0,3.0,7.0,2.0,2.9130000000000003,0.14800000000000002,0.34600000000000003,0.099,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
15,MLI,Africa,Mali,2020-04-10,59.0,0.0,7.0,0.0,2.9130000000000003,0.0,0.34600000000000003,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
16,MLI,Africa,Mali,2020-04-11,87.0,28.0,7.0,0.0,4.296,1.383,0.34600000000000003,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
17,MLI,Africa,Mali,2020-04-12,105.0,18.0,9.0,2.0,5.185,0.889,0.444,0.099,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
18,MLI,Africa,Mali,2020-04-13,116.0,11.0,9.0,0.0,5.728,0.5429999999999999,0.444,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
19,MLI,Africa,Mali,2020-04-14,123.0,7.0,10.0,1.0,6.074,0.34600000000000003,0.494,0.049,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
20,MLI,Africa,Mali,2020-04-15,144.0,21.0,13.0,3.0,7.111000000000001,1.037,0.642,0.14800000000000002,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
21,MLI,Africa,Mali,2020-04-16,148.0,4.0,13.0,0.0,7.308,0.198,0.642,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
22,MLI,Africa,Mali,2020-04-17,171.0,23.0,13.0,0.0,8.443999999999999,1.136,0.642,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
23,MLI,Africa,Mali,2020-04-18,190.0,19.0,13.0,0.0,9.382,0.938,0.642,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
24,MLI,Africa,Mali,2020-04-19,216.0,26.0,13.0,0.0,10.665999999999999,1.284,0.642,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
25,MLI,Africa,Mali,2020-04-20,224.0,8.0,14.0,1.0,11.061,0.395,0.691,0.049,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
26,MLI,Africa,Mali,2020-04-21,246.0,22.0,14.0,0.0,12.148,1.0859999999999999,0.691,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
27,MLI,Africa,Mali,2020-04-22,258.0,12.0,14.0,0.0,12.74,0.593,0.691,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
28,MLI,Africa,Mali,2020-04-23,293.0,35.0,17.0,3.0,14.469000000000001,1.7280000000000002,0.8390000000000001,0.14800000000000002,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
29,MLI,Africa,Mali,2020-04-24,309.0,16.0,21.0,4.0,15.259,0.79,1.037,0.198,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
30,MLI,Africa,Mali,2020-04-25,325.0,16.0,21.0,0.0,16.049,0.79,1.037,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
31,MLI,Africa,Mali,2020-04-26,370.0,45.0,21.0,0.0,18.271,2.222,1.037,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
32,MLI,Africa,Mali,2020-04-27,389.0,19.0,23.0,2.0,19.209,0.938,1.136,0.099,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
33,MLI,Africa,Mali,2020-04-28,408.0,19.0,23.0,0.0,20.147000000000002,0.938,1.136,0.0,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
34,MLI,Africa,Mali,2020-04-29,424.0,16.0,24.0,1.0,20.936999999999998,0.79,1.185,0.049,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
35,MLI,Africa,Mali,2020-04-30,482.0,58.0,25.0,1.0,23.801,2.864,1.235,0.049,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
36,MLI,Africa,Mali,2020-05-01,490.0,8.0,26.0,1.0,24.197,0.395,1.284,0.049,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
37,MLI,Africa,Mali,2020-05-02,508.0,18.0,26.0,0.0,25.085,0.889,1.284,0.0,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
38,MLI,Africa,Mali,2020-05-03,544.0,36.0,26.0,0.0,26.863000000000003,1.778,1.284,0.0,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
39,MLI,Africa,Mali,2020-05-04,563.0,19.0,27.0,1.0,27.801,0.938,1.3330000000000002,0.049,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
40,MLI,Africa,Mali,2020-05-05,580.0,17.0,29.0,2.0,28.641,0.8390000000000001,1.432,0.099,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
41,MLI,Africa,Mali,2020-05-06,612.0,32.0,32.0,3.0,30.221,1.58,1.58,0.14800000000000002,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
42,MLI,Africa,Mali,2020-05-07,631.0,19.0,32.0,0.0,31.159000000000002,0.938,1.58,0.0,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
43,MLI,Africa,Mali,2020-05-08,650.0,19.0,32.0,0.0,32.097,0.938,1.58,0.0,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
44,MLI,Africa,Mali,2020-05-09,668.0,18.0,35.0,3.0,32.986,0.889,1.7280000000000002,0.14800000000000002,,,,,,,,69.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,,2.42,1.6,23.0,52.232,0.1,59.31
