,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MLT,Europe,Malta,2020-02-06,,,,,,,,,1.0,1.0,0.002,0.002,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
1,MLT,Europe,Malta,2020-02-07,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
2,MLT,Europe,Malta,2020-02-08,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
3,MLT,Europe,Malta,2020-02-09,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
4,MLT,Europe,Malta,2020-02-10,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
5,MLT,Europe,Malta,2020-02-11,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
6,MLT,Europe,Malta,2020-02-12,,,,,,,,,,,,,,,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
7,MLT,Europe,Malta,2020-02-13,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
8,MLT,Europe,Malta,2020-02-14,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
9,MLT,Europe,Malta,2020-02-15,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
10,MLT,Europe,Malta,2020-02-16,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
11,MLT,Europe,Malta,2020-02-17,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
12,MLT,Europe,Malta,2020-02-18,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
13,MLT,Europe,Malta,2020-02-19,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
14,MLT,Europe,Malta,2020-02-20,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
15,MLT,Europe,Malta,2020-02-21,,,,,,,,,,,,,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
16,MLT,Europe,Malta,2020-02-22,,,,,,,,,2.0,1.0,0.005,0.002,0.0,0.0,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
17,MLT,Europe,Malta,2020-02-23,,,,,,,,,,,,,3.0,0.006999999999999999,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
18,MLT,Europe,Malta,2020-02-24,,,,,,,,,46.0,44.0,0.10400000000000001,0.1,6.0,0.013999999999999999,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
19,MLT,Europe,Malta,2020-02-25,,,,,,,,,75.0,29.0,0.17,0.066,10.0,0.023,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
20,MLT,Europe,Malta,2020-02-26,,,,,,,,,125.0,50.0,0.28300000000000003,0.113,18.0,0.040999999999999995,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
21,MLT,Europe,Malta,2020-02-27,,,,,,,,,139.0,14.0,0.315,0.032,20.0,0.045,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
22,MLT,Europe,Malta,2020-02-28,,,,,,,,,149.0,10.0,0.337,0.023,21.0,0.048,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
23,MLT,Europe,Malta,2020-02-29,,,,,,,,,156.0,7.0,0.353,0.016,22.0,0.05,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
24,MLT,Europe,Malta,2020-03-01,,,,,,,,,164.0,8.0,0.371,0.018000000000000002,20.0,0.045,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
25,MLT,Europe,Malta,2020-03-02,,,,,,,,,169.0,5.0,0.38299999999999995,0.011000000000000001,18.0,0.040999999999999995,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
26,MLT,Europe,Malta,2020-03-03,,,,,,,,,191.0,22.0,0.433,0.05,17.0,0.039,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
27,MLT,Europe,Malta,2020-03-04,,,,,,,,,233.0,42.0,0.528,0.095,15.0,0.034,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
28,MLT,Europe,Malta,2020-03-05,,,,,,,,,264.0,31.0,0.598,0.07,18.0,0.040999999999999995,tests performed,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,,8.83,20.9,30.2,,4.485,82.53
