,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MUS,Africa,Mauritius,2020-03-20,3.0,3.0,,0.0,2.359,2.359,,0.0,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
1,MUS,Africa,Mauritius,2020-03-21,12.0,9.0,,0.0,9.436,7.077000000000001,,0.0,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
2,MUS,Africa,Mauritius,2020-03-22,14.0,2.0,1.0,1.0,11.008,1.5730000000000002,0.7859999999999999,0.7859999999999999,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
3,MUS,Africa,Mauritius,2020-03-23,28.0,14.0,2.0,1.0,22.017,11.008,1.5730000000000002,0.7859999999999999,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
4,MUS,Africa,Mauritius,2020-03-24,36.0,8.0,2.0,0.0,28.307,6.29,1.5730000000000002,0.0,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
5,MUS,Africa,Mauritius,2020-03-25,42.0,6.0,2.0,0.0,33.025,4.718,1.5730000000000002,0.0,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
6,MUS,Africa,Mauritius,2020-03-26,48.0,6.0,2.0,0.0,37.743,4.718,1.5730000000000002,0.0,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
7,MUS,Africa,Mauritius,2020-03-27,81.0,33.0,2.0,0.0,63.691,25.948,1.5730000000000002,0.0,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
8,MUS,Africa,Mauritius,2020-03-28,94.0,13.0,2.0,0.0,73.913,10.222000000000001,1.5730000000000002,0.0,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
9,MUS,Africa,Mauritius,2020-03-29,102.0,8.0,2.0,0.0,80.203,6.29,1.5730000000000002,0.0,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,,22.02,3.2,40.7,,3.4,74.99
