,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MEX,North America,Mexico,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
1,MEX,North America,Mexico,2020-01-01,,0.0,,0.0,,0.0,,0.0,25.0,25.0,0.0,0.0,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
2,MEX,North America,Mexico,2020-01-02,,0.0,,0.0,,0.0,,0.0,97.0,72.0,0.001,0.001,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
3,MEX,North America,Mexico,2020-01-03,,0.0,,0.0,,0.0,,0.0,186.0,89.0,0.001,0.001,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
4,MEX,North America,Mexico,2020-01-04,,0.0,,0.0,,0.0,,0.0,231.0,45.0,0.002,0.0,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
5,MEX,North America,Mexico,2020-01-05,,,,,,,,,312.0,81.0,0.002,0.001,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
6,MEX,North America,Mexico,2020-01-06,,,,,,,,,479.0,167.0,0.004,0.001,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
7,MEX,North America,Mexico,2020-01-07,,,,,,,,,666.0,187.0,0.005,0.001,,,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
8,MEX,North America,Mexico,2020-01-08,,,,,,,,,834.0,168.0,0.006,0.001,116.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
9,MEX,North America,Mexico,2020-01-09,,,,,,,,,1022.0,188.0,0.008,0.001,132.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
10,MEX,North America,Mexico,2020-01-10,,,,,,,,,1168.0,146.0,0.009000000000000001,0.001,140.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
11,MEX,North America,Mexico,2020-01-11,,,,,,,,,1212.0,44.0,0.009000000000000001,0.0,140.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
12,MEX,North America,Mexico,2020-01-12,,,,,,,,,1341.0,129.0,0.01,0.001,147.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
13,MEX,North America,Mexico,2020-01-13,,0.0,,0.0,,0.0,,0.0,1566.0,225.0,0.012,0.002,155.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
14,MEX,North America,Mexico,2020-01-14,1.0,1.0,,0.0,0.008,0.008,,0.0,1806.0,240.0,0.013999999999999999,0.002,163.0,0.001,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,,13.06,6.9,21.4,87.84700000000001,1.38,75.05
