,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MDA,Europe,Moldova,2020-03-08,1.0,1.0,,0.0,0.248,0.248,,0.0,,,,,,,,11.11,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
1,MDA,Europe,Moldova,2020-03-11,3.0,2.0,,0.0,0.7440000000000001,0.496,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
2,MDA,Europe,Moldova,2020-03-12,4.0,1.0,,0.0,0.992,0.248,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
3,MDA,Europe,Moldova,2020-03-13,6.0,2.0,,0.0,1.4869999999999999,0.496,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
4,MDA,Europe,Moldova,2020-03-14,8.0,2.0,,0.0,1.983,0.496,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
5,MDA,Europe,Moldova,2020-03-15,20.0,12.0,,0.0,4.958,2.975,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
6,MDA,Europe,Moldova,2020-03-16,23.0,3.0,,0.0,5.702000000000001,0.7440000000000001,,0.0,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
7,MDA,Europe,Moldova,2020-03-17,29.0,6.0,,0.0,7.189,1.4869999999999999,,0.0,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
8,MDA,Europe,Moldova,2020-03-18,30.0,1.0,,0.0,7.437,0.248,,0.0,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
9,MDA,Europe,Moldova,2020-03-19,36.0,6.0,1.0,1.0,8.924,1.4869999999999999,0.248,0.248,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
10,MDA,Europe,Moldova,2020-03-20,49.0,13.0,1.0,0.0,12.147,3.2230000000000003,0.248,0.0,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
11,MDA,Europe,Moldova,2020-03-21,66.0,17.0,1.0,0.0,16.361,4.2139999999999995,0.248,0.0,,,,,,,,57.41,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
12,MDA,Europe,Moldova,2020-03-22,80.0,14.0,1.0,0.0,19.832,3.471,0.248,0.0,,,,,,,,57.41,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
13,MDA,Europe,Moldova,2020-03-23,94.0,14.0,1.0,0.0,23.302,3.471,0.248,0.0,,,,,,,,65.74,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
14,MDA,Europe,Moldova,2020-03-24,109.0,15.0,1.0,0.0,27.021,3.718,0.248,0.0,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,,5.72,5.9,44.6,86.979,5.8,71.9
