,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MNG,Asia,Mongolia,2020-03-10,1.0,1.0,,0.0,0.305,0.305,,0.0,,,,,,,,57.41,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
1,MNG,Asia,Mongolia,2020-03-15,1.0,0.0,,0.0,0.305,0.0,,0.0,,,,,,,,57.41,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
2,MNG,Asia,Mongolia,2020-03-16,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
3,MNG,Asia,Mongolia,2020-03-17,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
4,MNG,Asia,Mongolia,2020-03-18,4.0,3.0,,0.0,1.22,0.915,,0.0,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
5,MNG,Asia,Mongolia,2020-03-19,5.0,1.0,,0.0,1.525,0.305,,0.0,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
6,MNG,Asia,Mongolia,2020-03-20,5.0,0.0,,0.0,1.525,0.0,,0.0,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
7,MNG,Asia,Mongolia,2020-03-21,6.0,1.0,,0.0,1.83,0.305,,0.0,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
8,MNG,Asia,Mongolia,2020-03-22,10.0,4.0,,0.0,3.05,1.22,,0.0,,,,,,,,49.07,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
9,MNG,Asia,Mongolia,2020-03-23,10.0,0.0,,0.0,3.05,0.0,,0.0,,,,,,,,60.19,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,,4.82,5.5,46.5,71.18,7.0,69.87
