,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MNE,Europe,Montenegro,2020-03-18,2.0,2.0,,0.0,3.1839999999999997,3.1839999999999997,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
1,MNE,Europe,Montenegro,2020-03-19,8.0,6.0,,0.0,12.738,9.552999999999999,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
2,MNE,Europe,Montenegro,2020-03-20,13.0,5.0,,0.0,20.699,7.961,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
3,MNE,Europe,Montenegro,2020-03-21,14.0,1.0,,0.0,22.291,1.5919999999999999,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
4,MNE,Europe,Montenegro,2020-03-22,14.0,0.0,,0.0,22.291,0.0,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
5,MNE,Europe,Montenegro,2020-03-23,21.0,7.0,,0.0,33.436,11.145,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
6,MNE,Europe,Montenegro,2020-03-24,27.0,6.0,,0.0,42.989,9.552999999999999,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
7,MNE,Europe,Montenegro,2020-03-25,47.0,20.0,,0.0,74.833,31.844,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
8,MNE,Europe,Montenegro,2020-03-26,53.0,6.0,,0.0,84.387,9.552999999999999,,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
9,MNE,Europe,Montenegro,2020-03-27,67.0,14.0,1.0,1.0,106.677,22.291,1.5919999999999999,1.5919999999999999,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
10,MNE,Europe,Montenegro,2020-03-28,75.0,8.0,1.0,0.0,119.415,12.738,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
11,MNE,Europe,Montenegro,2020-03-29,84.0,9.0,1.0,0.0,133.745,14.33,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
12,MNE,Europe,Montenegro,2020-03-30,85.0,1.0,1.0,0.0,135.33700000000002,1.5919999999999999,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
13,MNE,Europe,Montenegro,2020-03-31,91.0,6.0,1.0,0.0,144.89,9.552999999999999,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
14,MNE,Europe,Montenegro,2020-04-01,109.0,18.0,1.0,0.0,173.55,28.66,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
15,MNE,Europe,Montenegro,2020-04-02,123.0,14.0,1.0,0.0,195.84099999999998,22.291,1.5919999999999999,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
16,MNE,Europe,Montenegro,2020-04-03,144.0,21.0,2.0,1.0,229.27700000000002,33.436,3.1839999999999997,1.5919999999999999,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
17,MNE,Europe,Montenegro,2020-04-04,174.0,30.0,2.0,0.0,277.043,47.766000000000005,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
18,MNE,Europe,Montenegro,2020-04-05,201.0,27.0,2.0,0.0,320.032,42.989,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
19,MNE,Europe,Montenegro,2020-04-06,214.0,13.0,2.0,0.0,340.731,20.699,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
20,MNE,Europe,Montenegro,2020-04-07,233.0,19.0,2.0,0.0,370.98199999999997,30.252,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
21,MNE,Europe,Montenegro,2020-04-08,241.0,8.0,2.0,0.0,383.72,12.738,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
22,MNE,Europe,Montenegro,2020-04-09,249.0,8.0,2.0,0.0,396.458,12.738,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
23,MNE,Europe,Montenegro,2020-04-10,252.0,3.0,2.0,0.0,401.23400000000004,4.777,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
24,MNE,Europe,Montenegro,2020-04-11,257.0,5.0,2.0,0.0,409.195,7.961,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
25,MNE,Europe,Montenegro,2020-04-12,263.0,6.0,2.0,0.0,418.74800000000005,9.552999999999999,3.1839999999999997,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
26,MNE,Europe,Montenegro,2020-04-13,272.0,9.0,3.0,1.0,433.07800000000003,14.33,4.777,1.5919999999999999,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
27,MNE,Europe,Montenegro,2020-04-14,274.0,2.0,3.0,0.0,436.26300000000003,3.1839999999999997,4.777,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
28,MNE,Europe,Montenegro,2020-04-15,283.0,9.0,4.0,1.0,450.592,14.33,6.369,1.5919999999999999,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
29,MNE,Europe,Montenegro,2020-04-16,288.0,5.0,4.0,0.0,458.55300000000005,7.961,6.369,0.0,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,,10.08,44.0,47.9,,3.861,76.88
