,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MSR,North America,Montserrat,2020-03-21,1.0,1.0,,0.0,200.04,200.04,,0.0,,,,,,,,37.96,4999.0,,,,,,,,,,,,,74.16
1,MSR,North America,Montserrat,2020-03-22,1.0,0.0,,0.0,200.04,0.0,,0.0,,,,,,,,37.96,4999.0,,,,,,,,,,,,,74.16
2,MSR,North America,Montserrat,2020-03-23,1.0,0.0,,0.0,200.04,0.0,,0.0,,,,,,,,37.96,4999.0,,,,,,,,,,,,,74.16
3,MSR,North America,Montserrat,2020-03-24,1.0,0.0,,0.0,200.04,0.0,,0.0,,,,,,,,37.96,4999.0,,,,,,,,,,,,,74.16
4,MSR,North America,Montserrat,2020-03-25,1.0,0.0,,0.0,200.04,0.0,,0.0,,,,,,,,37.96,4999.0,,,,,,,,,,,,,74.16
5,MSR,North America,Montserrat,2020-03-26,1.0,0.0,,0.0,200.04,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
6,MSR,North America,Montserrat,2020-03-27,5.0,4.0,,0.0,1000.2,800.16,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
7,MSR,North America,Montserrat,2020-03-28,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
8,MSR,North America,Montserrat,2020-03-29,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
9,MSR,North America,Montserrat,2020-03-30,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
10,MSR,North America,Montserrat,2020-03-31,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
11,MSR,North America,Montserrat,2020-04-01,,,,,,,,,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
12,MSR,North America,Montserrat,2020-04-02,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
13,MSR,North America,Montserrat,2020-04-03,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
14,MSR,North America,Montserrat,2020-04-04,5.0,0.0,,0.0,1000.2,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
15,MSR,North America,Montserrat,2020-04-05,6.0,1.0,,0.0,1200.24,200.04,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
16,MSR,North America,Montserrat,2020-04-06,6.0,0.0,,0.0,1200.24,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
17,MSR,North America,Montserrat,2020-04-07,6.0,0.0,,0.0,1200.24,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
18,MSR,North America,Montserrat,2020-04-08,6.0,0.0,,0.0,1200.24,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
19,MSR,North America,Montserrat,2020-04-09,9.0,3.0,,0.0,1800.36,600.12,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
20,MSR,North America,Montserrat,2020-04-10,9.0,0.0,,0.0,1800.36,0.0,,0.0,,,,,,,,68.52,4999.0,,,,,,,,,,,,,74.16
21,MSR,North America,Montserrat,2020-04-11,9.0,0.0,,0.0,1800.36,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
22,MSR,North America,Montserrat,2020-04-12,9.0,0.0,,0.0,1800.36,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
23,MSR,North America,Montserrat,2020-04-13,11.0,2.0,,0.0,2200.44,400.08,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
24,MSR,North America,Montserrat,2020-04-14,11.0,0.0,,0.0,2200.44,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
25,MSR,North America,Montserrat,2020-04-15,11.0,0.0,,0.0,2200.44,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
26,MSR,North America,Montserrat,2020-04-16,11.0,0.0,,0.0,2200.44,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
27,MSR,North America,Montserrat,2020-04-17,11.0,0.0,,0.0,2200.44,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
28,MSR,North America,Montserrat,2020-04-18,11.0,0.0,,0.0,2200.44,0.0,,0.0,,,,,,,,72.22,4999.0,,,,,,,,,,,,,74.16
