,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,MOZ,Africa,Mozambique,2020-03-23,1.0,1.0,,0.0,0.032,0.032,,0.0,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
1,MOZ,Africa,Mozambique,2020-03-24,1.0,0.0,,0.0,0.032,0.0,,0.0,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
2,MOZ,Africa,Mozambique,2020-03-25,1.0,0.0,,0.0,0.032,0.0,,0.0,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
3,MOZ,Africa,Mozambique,2020-03-26,5.0,4.0,,0.0,0.16,0.128,,0.0,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
4,MOZ,Africa,Mozambique,2020-03-27,7.0,2.0,,0.0,0.22399999999999998,0.064,,0.0,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
5,MOZ,Africa,Mozambique,2020-03-28,7.0,0.0,,0.0,0.22399999999999998,0.0,,0.0,205.0,,0.006999999999999999,,,,units unclear,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
6,MOZ,Africa,Mozambique,2020-03-29,8.0,1.0,,0.0,0.256,0.032,,0.0,,,,,,,units unclear,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
7,MOZ,Africa,Mozambique,2020-03-30,8.0,0.0,,0.0,0.256,0.0,,0.0,233.0,,0.006999999999999999,,,,units unclear,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
8,MOZ,Africa,Mozambique,2020-03-31,8.0,0.0,,0.0,0.256,0.0,,0.0,269.0,36.0,0.009000000000000001,0.001,,,units unclear,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
9,MOZ,Africa,Mozambique,2020-04-01,8.0,0.0,,0.0,0.256,0.0,,0.0,288.0,19.0,0.009000000000000001,0.001,,,units unclear,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
10,MOZ,Africa,Mozambique,2020-04-02,10.0,2.0,,0.0,0.32,0.064,,0.0,306.0,18.0,0.01,0.001,,,units unclear,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
11,MOZ,Africa,Mozambique,2020-04-03,10.0,0.0,,0.0,0.32,0.0,,0.0,321.0,15.0,0.01,0.0,,,units unclear,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,,3.3,5.1,29.1,12.227,0.7,60.85
