,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,NAM,Africa,Namibia,2020-03-15,2.0,2.0,,0.0,0.787,0.787,,0.0,,,,,,,,8.33,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
1,NAM,Africa,Namibia,2020-03-16,2.0,0.0,,0.0,0.787,0.0,,0.0,,,,,,,,8.33,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
2,NAM,Africa,Namibia,2020-03-17,2.0,0.0,,0.0,0.787,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
3,NAM,Africa,Namibia,2020-03-18,2.0,0.0,,0.0,0.787,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
4,NAM,Africa,Namibia,2020-03-19,2.0,0.0,,0.0,0.787,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
5,NAM,Africa,Namibia,2020-03-20,2.0,0.0,,0.0,0.787,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
6,NAM,Africa,Namibia,2020-03-21,3.0,1.0,,0.0,1.181,0.39399999999999996,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
7,NAM,Africa,Namibia,2020-03-22,3.0,0.0,,0.0,1.181,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
8,NAM,Africa,Namibia,2020-03-23,3.0,0.0,,0.0,1.181,0.0,,0.0,,,,,,,,50.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
9,NAM,Africa,Namibia,2020-03-24,3.0,0.0,,0.0,1.181,0.0,,0.0,,,,,,,,52.78,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,,3.94,9.7,34.2,44.6,,63.71
