,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,NPL,Asia,Nepal,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
1,NPL,Asia,Nepal,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
2,NPL,Asia,Nepal,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
3,NPL,Asia,Nepal,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
4,NPL,Asia,Nepal,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
5,NPL,Asia,Nepal,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
6,NPL,Asia,Nepal,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
7,NPL,Asia,Nepal,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
8,NPL,Asia,Nepal,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
9,NPL,Asia,Nepal,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,,7.26,9.5,37.8,47.782,0.3,70.78
