,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,NCL,Oceania,New Caledonia,2020-03-21,2.0,2.0,,0.0,7.005,7.005,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
1,NCL,Oceania,New Caledonia,2020-03-22,4.0,2.0,,0.0,14.011,7.005,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
2,NCL,Oceania,New Caledonia,2020-03-23,5.0,1.0,,0.0,17.514,3.503,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
3,NCL,Oceania,New Caledonia,2020-03-24,7.0,2.0,,0.0,24.519000000000002,7.005,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
4,NCL,Oceania,New Caledonia,2020-03-25,9.0,2.0,,0.0,31.525,7.005,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
5,NCL,Oceania,New Caledonia,2020-03-26,14.0,5.0,,0.0,49.038000000000004,17.514,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
6,NCL,Oceania,New Caledonia,2020-03-27,15.0,1.0,,0.0,52.541000000000004,3.503,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
7,NCL,Oceania,New Caledonia,2020-03-28,15.0,0.0,,0.0,52.541000000000004,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
8,NCL,Oceania,New Caledonia,2020-03-29,15.0,0.0,,0.0,52.541000000000004,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
9,NCL,Oceania,New Caledonia,2020-03-30,15.0,0.0,,0.0,52.541000000000004,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
10,NCL,Oceania,New Caledonia,2020-03-31,16.0,1.0,,0.0,56.044,3.503,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
11,NCL,Oceania,New Caledonia,2020-04-01,16.0,0.0,,0.0,56.044,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
12,NCL,Oceania,New Caledonia,2020-04-02,16.0,0.0,,0.0,56.044,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
13,NCL,Oceania,New Caledonia,2020-04-03,16.0,0.0,,0.0,56.044,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
14,NCL,Oceania,New Caledonia,2020-04-04,18.0,2.0,,0.0,63.049,7.005,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
15,NCL,Oceania,New Caledonia,2020-04-05,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
16,NCL,Oceania,New Caledonia,2020-04-06,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
17,NCL,Oceania,New Caledonia,2020-04-07,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
18,NCL,Oceania,New Caledonia,2020-04-08,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
19,NCL,Oceania,New Caledonia,2020-04-09,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
20,NCL,Oceania,New Caledonia,2020-04-10,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
21,NCL,Oceania,New Caledonia,2020-04-11,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
22,NCL,Oceania,New Caledonia,2020-04-12,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
23,NCL,Oceania,New Caledonia,2020-04-13,18.0,0.0,,0.0,63.049,0.0,,0.0,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
