,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,NIC,North America,Nicaragua,2020-03-19,1.0,1.0,,0.0,0.151,0.151,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
1,NIC,North America,Nicaragua,2020-03-20,1.0,0.0,,0.0,0.151,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
2,NIC,North America,Nicaragua,2020-03-21,2.0,1.0,,0.0,0.302,0.151,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
3,NIC,North America,Nicaragua,2020-03-22,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
4,NIC,North America,Nicaragua,2020-03-23,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
5,NIC,North America,Nicaragua,2020-03-24,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
6,NIC,North America,Nicaragua,2020-03-25,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
7,NIC,North America,Nicaragua,2020-03-26,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
8,NIC,North America,Nicaragua,2020-03-27,2.0,0.0,,0.0,0.302,0.0,,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
9,NIC,North America,Nicaragua,2020-03-28,2.0,0.0,1.0,1.0,0.302,0.0,0.151,0.151,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
10,NIC,North America,Nicaragua,2020-03-29,4.0,2.0,1.0,0.0,0.604,0.302,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
11,NIC,North America,Nicaragua,2020-03-30,4.0,0.0,1.0,0.0,0.604,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
12,NIC,North America,Nicaragua,2020-03-31,4.0,0.0,1.0,0.0,0.604,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
13,NIC,North America,Nicaragua,2020-04-01,4.0,0.0,1.0,0.0,0.604,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
14,NIC,North America,Nicaragua,2020-04-02,5.0,1.0,1.0,0.0,0.755,0.151,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
15,NIC,North America,Nicaragua,2020-04-03,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
16,NIC,North America,Nicaragua,2020-04-04,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
17,NIC,North America,Nicaragua,2020-04-05,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
18,NIC,North America,Nicaragua,2020-04-06,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
19,NIC,North America,Nicaragua,2020-04-07,6.0,1.0,1.0,0.0,0.9059999999999999,0.151,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
20,NIC,North America,Nicaragua,2020-04-08,6.0,0.0,1.0,0.0,0.9059999999999999,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
21,NIC,North America,Nicaragua,2020-04-09,6.0,0.0,1.0,0.0,0.9059999999999999,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
22,NIC,North America,Nicaragua,2020-04-10,6.0,0.0,1.0,0.0,0.9059999999999999,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
23,NIC,North America,Nicaragua,2020-04-11,7.0,1.0,1.0,0.0,1.057,0.151,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
24,NIC,North America,Nicaragua,2020-04-12,7.0,0.0,1.0,0.0,1.057,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
25,NIC,North America,Nicaragua,2020-04-13,9.0,2.0,1.0,0.0,1.359,0.302,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
26,NIC,North America,Nicaragua,2020-04-14,9.0,0.0,1.0,0.0,1.359,0.0,0.151,0.0,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
27,NIC,North America,Nicaragua,2020-04-15,9.0,0.0,1.0,0.0,1.359,0.0,0.151,0.0,,,,,,,,16.67,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,,11.47,,,,0.9,74.48
