,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,PSE,Asia,Palestine,2020-03-06,7.0,7.0,,0.0,1.3719999999999999,1.3719999999999999,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
1,PSE,Asia,Palestine,2020-03-07,16.0,9.0,,0.0,3.136,1.764,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
2,PSE,Asia,Palestine,2020-03-08,19.0,3.0,,0.0,3.7239999999999998,0.588,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
3,PSE,Asia,Palestine,2020-03-10,20.0,1.0,,0.0,3.92,0.196,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
4,PSE,Asia,Palestine,2020-03-11,29.0,9.0,,0.0,5.685,1.764,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
5,PSE,Asia,Palestine,2020-03-12,30.0,1.0,,0.0,5.881,0.196,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
6,PSE,Asia,Palestine,2020-03-13,,,,,,,,,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
7,PSE,Asia,Palestine,2020-03-14,35.0,5.0,,0.0,6.861000000000001,0.98,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
8,PSE,Asia,Palestine,2020-03-15,38.0,3.0,,0.0,7.449,0.588,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
9,PSE,Asia,Palestine,2020-03-16,38.0,0.0,,0.0,7.449,0.0,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
10,PSE,Asia,Palestine,2020-03-17,39.0,1.0,,0.0,7.645,0.196,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
11,PSE,Asia,Palestine,2020-03-18,41.0,2.0,,0.0,8.037,0.392,,0.0,,,,,,,,74.07,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,,10.59,,,,,74.05
