,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,PAN,North America,Panama,2020-03-09,,,,,,,,,107.0,,0.025,,,,tests performed,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
1,PAN,North America,Panama,2020-03-10,1.0,1.0,,0.0,0.23199999999999998,0.23199999999999998,,0.0,138.0,31.0,0.032,0.006999999999999999,,,tests performed,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
2,PAN,North America,Panama,2020-03-11,7.0,6.0,1.0,1.0,1.6219999999999999,1.391,0.23199999999999998,0.23199999999999998,180.0,42.0,0.042,0.01,,,tests performed,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
3,PAN,North America,Panama,2020-03-12,14.0,7.0,1.0,0.0,3.245,1.6219999999999999,0.23199999999999998,0.0,374.0,194.0,0.087,0.045,,,tests performed,19.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
4,PAN,North America,Panama,2020-03-13,27.0,13.0,1.0,0.0,6.257999999999999,3.013,0.23199999999999998,0.0,613.0,239.0,0.142,0.055,,,tests performed,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
5,PAN,North America,Panama,2020-03-14,36.0,9.0,1.0,0.0,8.343,2.086,0.23199999999999998,0.0,814.0,201.0,0.18899999999999997,0.047,,,tests performed,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
6,PAN,North America,Panama,2020-03-15,43.0,7.0,1.0,0.0,9.966000000000001,1.6219999999999999,0.23199999999999998,0.0,921.0,107.0,0.213,0.025,,,tests performed,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
7,PAN,North America,Panama,2020-03-16,43.0,0.0,1.0,0.0,9.966000000000001,0.0,0.23199999999999998,0.0,1004.0,83.0,0.233,0.019,128.0,0.03,tests performed,48.15,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
8,PAN,North America,Panama,2020-03-17,69.0,26.0,1.0,0.0,15.992,6.026,0.23199999999999998,0.0,1245.0,241.0,0.289,0.055999999999999994,158.0,0.037000000000000005,tests performed,51.85,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
9,PAN,North America,Panama,2020-03-18,86.0,17.0,1.0,0.0,19.932000000000002,3.94,0.23199999999999998,0.0,1455.0,210.0,0.337,0.049,182.0,0.042,tests performed,51.85,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
10,PAN,North America,Panama,2020-03-19,109.0,23.0,1.0,0.0,25.261999999999997,5.331,0.23199999999999998,0.0,1768.0,313.0,0.41,0.073,199.0,0.046,tests performed,51.85,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
11,PAN,North America,Panama,2020-03-20,137.0,28.0,1.0,0.0,31.750999999999998,6.489,0.23199999999999998,0.0,2169.0,401.0,0.503,0.09300000000000001,222.0,0.051,tests performed,59.26,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
12,PAN,North America,Panama,2020-03-21,200.0,63.0,1.0,0.0,46.352,14.600999999999999,0.23199999999999998,0.0,2472.0,303.0,0.573,0.07,237.0,0.055,tests performed,59.26,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
13,PAN,North America,Panama,2020-03-22,245.0,45.0,3.0,2.0,56.782,10.429,0.695,0.46399999999999997,3099.0,627.0,0.718,0.145,311.0,0.07200000000000001,tests performed,59.26,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
14,PAN,North America,Panama,2020-03-23,313.0,68.0,3.0,0.0,72.542,15.76,0.695,0.0,3385.0,286.0,0.785,0.066,340.0,0.079,tests performed,70.37,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
15,PAN,North America,Panama,2020-03-24,345.0,32.0,6.0,3.0,79.958,7.416,1.391,0.695,3690.0,305.0,0.855,0.071,349.0,0.081,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
16,PAN,North America,Panama,2020-03-25,443.0,98.0,6.0,0.0,102.671,22.713,1.391,0.0,4248.0,558.0,0.985,0.129,399.0,0.092,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
17,PAN,North America,Panama,2020-03-26,588.0,145.0,6.0,0.0,136.276,33.606,1.391,0.0,4856.0,608.0,1.125,0.141,441.0,0.102,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
18,PAN,North America,Panama,2020-03-27,674.0,86.0,9.0,3.0,156.208,19.932000000000002,2.086,0.695,5222.0,366.0,1.21,0.085,436.0,0.10099999999999999,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
19,PAN,North America,Panama,2020-03-28,786.0,112.0,14.0,5.0,182.165,25.956999999999997,3.245,1.159,5762.0,540.0,1.335,0.125,470.0,0.109,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
20,PAN,North America,Panama,2020-03-29,901.0,115.0,17.0,3.0,208.81799999999998,26.653000000000002,3.94,0.695,6160.0,398.0,1.4280000000000002,0.092,437.0,0.10099999999999999,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
21,PAN,North America,Panama,2020-03-30,989.0,88.0,24.0,7.0,229.213,20.395,5.562,1.6219999999999999,6582.0,422.0,1.525,0.098,457.0,0.106,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
22,PAN,North America,Panama,2020-03-31,1075.0,86.0,26.0,2.0,249.144,19.932000000000002,6.026,0.46399999999999997,6944.0,362.0,1.609,0.084,465.0,0.10800000000000001,tests performed,75.93,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
23,PAN,North America,Panama,2020-04-01,1181.0,106.0,30.0,4.0,273.711,24.566999999999997,6.952999999999999,0.927,7333.0,389.0,1.7,0.09,441.0,0.102,tests performed,79.63,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
24,PAN,North America,Panama,2020-04-02,1317.0,136.0,32.0,2.0,305.231,31.52,7.416,0.46399999999999997,7941.0,608.0,1.84,0.141,441.0,0.102,tests performed,79.63,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
25,PAN,North America,Panama,2020-04-03,1475.0,158.0,37.0,5.0,341.849,36.618,8.575,1.159,8694.0,753.0,2.015,0.175,496.0,0.115,tests performed,90.74,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
26,PAN,North America,Panama,2020-04-04,1673.0,198.0,41.0,4.0,387.73800000000006,45.888999999999996,9.502,0.927,9256.0,562.0,2.145,0.13,499.0,0.11599999999999999,tests performed,90.74,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
27,PAN,North America,Panama,2020-04-05,1801.0,128.0,46.0,5.0,417.404,29.666,10.661,1.159,9749.0,493.0,2.259,0.114,513.0,0.11900000000000001,tests performed,90.74,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,,8.33,2.4,9.9,,2.3,78.51
