,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,PRY,South America,Paraguay,2020-03-07,,,,,,,,,1.0,1.0,0.0,0.0,,,tests performed,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
1,PRY,South America,Paraguay,2020-03-08,1.0,1.0,,0.0,0.14,0.14,,0.0,,,,,,,tests performed,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
2,PRY,South America,Paraguay,2020-03-09,,,,,,,,,,,,,,,tests performed,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
3,PRY,South America,Paraguay,2020-03-10,,,,,,,,,9.0,8.0,0.001,0.001,,,tests performed,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
4,PRY,South America,Paraguay,2020-03-11,5.0,4.0,,0.0,0.701,0.561,,0.0,16.0,7.0,0.002,0.001,,,tests performed,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
5,PRY,South America,Paraguay,2020-03-12,,,,,,,,,22.0,6.0,0.003,0.001,,,tests performed,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
6,PRY,South America,Paraguay,2020-03-13,6.0,1.0,,0.0,0.841,0.14,,0.0,39.0,17.0,0.005,0.002,,,tests performed,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
7,PRY,South America,Paraguay,2020-03-14,7.0,1.0,,0.0,0.981,0.14,,0.0,54.0,15.0,0.008,0.002,8.0,0.001,tests performed,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
8,PRY,South America,Paraguay,2020-03-15,,,,,,,,,87.0,33.0,0.012,0.005,12.0,0.002,tests performed,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
9,PRY,South America,Paraguay,2020-03-16,8.0,1.0,,0.0,1.122,0.14,,0.0,114.0,27.0,0.016,0.004,15.0,0.002,tests performed,70.37,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
10,PRY,South America,Paraguay,2020-03-17,9.0,1.0,,0.0,1.262,0.14,,0.0,140.0,26.0,0.02,0.004,19.0,0.003,tests performed,74.07,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
11,PRY,South America,Paraguay,2020-03-18,11.0,2.0,,0.0,1.5419999999999998,0.28,,0.0,164.0,24.0,0.023,0.003,21.0,0.003,tests performed,74.07,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
12,PRY,South America,Paraguay,2020-03-19,11.0,0.0,,0.0,1.5419999999999998,0.0,,0.0,196.0,32.0,0.027000000000000003,0.004,25.0,0.004,tests performed,74.07,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
13,PRY,South America,Paraguay,2020-03-20,13.0,2.0,,0.0,1.8230000000000002,0.28,,0.0,240.0,44.0,0.034,0.006,29.0,0.004,tests performed,74.07,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
14,PRY,South America,Paraguay,2020-03-21,18.0,5.0,1.0,1.0,2.524,0.701,0.14,0.14,308.0,68.0,0.043,0.01,36.0,0.005,tests performed,85.19,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
15,PRY,South America,Paraguay,2020-03-22,22.0,4.0,1.0,0.0,3.0839999999999996,0.561,0.14,0.0,345.0,37.0,0.048,0.005,37.0,0.005,tests performed,85.19,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
16,PRY,South America,Paraguay,2020-03-23,22.0,0.0,1.0,0.0,3.0839999999999996,0.0,0.14,0.0,434.0,89.0,0.061,0.012,46.0,0.006,tests performed,90.74,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
17,PRY,South America,Paraguay,2020-03-24,27.0,5.0,1.0,0.0,3.785,0.701,0.14,0.0,525.0,91.0,0.07400000000000001,0.013000000000000001,55.0,0.008,tests performed,93.52,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,,8.27,5.0,21.6,79.602,1.3,74.25
