,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,PER,South America,Peru,2020-02-28,,,,,,,,,54.0,,0.002,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
1,PER,South America,Peru,2020-02-29,,,,,,,,,,,,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
2,PER,South America,Peru,2020-03-01,,,,,,,,,,,,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
3,PER,South America,Peru,2020-03-02,,,,,,,,,,,,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
4,PER,South America,Peru,2020-03-03,,,,,,,,,107.0,,0.003,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
5,PER,South America,Peru,2020-03-04,,,,,,,,,,,,,,,people tested,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
6,PER,South America,Peru,2020-03-05,,,,,,,,,155.0,,0.005,,,,people tested,11.11,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
7,PER,South America,Peru,2020-03-06,,,,,,,,,219.0,64.0,0.006999999999999999,0.002,24.0,0.001,people tested,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
8,PER,South America,Peru,2020-03-07,1.0,1.0,,0.0,0.03,0.03,,0.0,250.0,31.0,0.008,0.001,26.0,0.001,people tested,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
9,PER,South America,Peru,2020-03-08,,,,,,,,,318.0,68.0,0.01,0.002,34.0,0.001,people tested,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,,5.95,4.8,,,1.6,76.74
