,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,POL,Europe,Poland,2020-03-04,1.0,1.0,,0.0,0.026000000000000002,0.026000000000000002,,0.0,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
1,POL,Europe,Poland,2020-03-07,5.0,4.0,,0.0,0.132,0.106,,0.0,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
2,POL,Europe,Poland,2020-03-08,6.0,1.0,,0.0,0.159,0.026000000000000002,,0.0,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
3,POL,Europe,Poland,2020-03-09,11.0,5.0,,0.0,0.29100000000000004,0.132,,0.0,,,,,,,,13.89,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
4,POL,Europe,Poland,2020-03-10,17.0,6.0,,0.0,0.449,0.159,,0.0,,,,,,,,25.0,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
5,POL,Europe,Poland,2020-03-11,22.0,5.0,,0.0,0.581,0.132,,0.0,,,,,,,,25.0,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
6,POL,Europe,Poland,2020-03-12,31.0,9.0,,0.0,0.8190000000000001,0.23800000000000002,,0.0,,,,,,,,41.67,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
7,POL,Europe,Poland,2020-03-13,49.0,18.0,1.0,1.0,1.295,0.47600000000000003,0.026000000000000002,0.026000000000000002,,,,,,,,41.67,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
8,POL,Europe,Poland,2020-03-14,68.0,19.0,2.0,1.0,1.797,0.502,0.053,0.026000000000000002,,,,,,,,49.07,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
9,POL,Europe,Poland,2020-03-15,104.0,36.0,3.0,1.0,2.748,0.951,0.079,0.026000000000000002,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
10,POL,Europe,Poland,2020-03-16,125.0,21.0,3.0,0.0,3.303,0.555,0.079,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
11,POL,Europe,Poland,2020-03-17,177.0,52.0,4.0,1.0,4.677,1.374,0.106,0.026000000000000002,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
12,POL,Europe,Poland,2020-03-18,238.0,61.0,5.0,1.0,6.289,1.6119999999999999,0.132,0.026000000000000002,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
13,POL,Europe,Poland,2020-03-19,287.0,49.0,5.0,0.0,7.582999999999999,1.295,0.132,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
14,POL,Europe,Poland,2020-03-20,355.0,68.0,5.0,0.0,9.38,1.797,0.132,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
15,POL,Europe,Poland,2020-03-21,425.0,70.0,5.0,0.0,11.23,1.85,0.132,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
16,POL,Europe,Poland,2020-03-22,536.0,111.0,5.0,0.0,14.162,2.9330000000000003,0.132,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
17,POL,Europe,Poland,2020-03-23,634.0,98.0,7.0,2.0,16.752,2.589,0.185,0.053,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
18,POL,Europe,Poland,2020-03-24,749.0,115.0,8.0,1.0,19.79,3.0389999999999997,0.21100000000000002,0.026000000000000002,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
19,POL,Europe,Poland,2020-03-25,901.0,152.0,10.0,2.0,23.807,4.016,0.264,0.053,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
20,POL,Europe,Poland,2020-03-26,1051.0,150.0,14.0,4.0,27.77,3.963,0.37,0.106,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
21,POL,Europe,Poland,2020-03-27,1221.0,170.0,16.0,2.0,32.262,4.492,0.423,0.053,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
22,POL,Europe,Poland,2020-03-28,1389.0,168.0,16.0,0.0,36.701,4.439,0.423,0.0,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
23,POL,Europe,Poland,2020-03-29,1638.0,249.0,18.0,2.0,43.28,6.579,0.47600000000000003,0.053,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
24,POL,Europe,Poland,2020-03-30,1862.0,224.0,22.0,4.0,49.199,5.919,0.581,0.106,,,,,,,,57.41,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
25,POL,Europe,Poland,2020-03-31,2055.0,193.0,31.0,9.0,54.298,5.1,0.8190000000000001,0.23800000000000002,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
26,POL,Europe,Poland,2020-04-01,2311.0,256.0,33.0,2.0,61.062,6.763999999999999,0.872,0.053,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
27,POL,Europe,Poland,2020-04-02,2554.0,243.0,43.0,10.0,67.483,6.421,1.136,0.264,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
28,POL,Europe,Poland,2020-04-03,2946.0,392.0,57.0,14.0,77.84100000000001,10.357999999999999,1.506,0.37,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
29,POL,Europe,Poland,2020-04-04,3383.0,437.0,71.0,14.0,89.387,11.547,1.876,0.37,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
30,POL,Europe,Poland,2020-04-05,3627.0,244.0,79.0,8.0,95.834,6.447,2.0869999999999997,0.21100000000000002,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
31,POL,Europe,Poland,2020-04-06,4102.0,475.0,94.0,15.0,108.385,12.550999999999998,2.484,0.396,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
32,POL,Europe,Poland,2020-04-07,4413.0,311.0,107.0,13.0,116.602,8.217,2.827,0.34299999999999997,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
33,POL,Europe,Poland,2020-04-08,4848.0,435.0,129.0,22.0,128.096,11.494000000000002,3.408,0.581,,,,,,,,81.48,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
34,POL,Europe,Poland,2020-04-09,5205.0,357.0,159.0,30.0,137.529,9.433,4.2010000000000005,0.7929999999999999,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
35,POL,Europe,Poland,2020-04-10,5575.0,370.0,174.0,15.0,147.305,9.776,4.598,0.396,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
36,POL,Europe,Poland,2020-04-11,5955.0,380.0,181.0,7.0,157.346,10.041,4.782,0.185,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
37,POL,Europe,Poland,2020-04-12,6356.0,401.0,208.0,27.0,167.94099999999997,10.595,5.496,0.713,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
38,POL,Europe,Poland,2020-04-13,6674.0,318.0,232.0,24.0,176.343,8.402000000000001,6.13,0.634,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
39,POL,Europe,Poland,2020-04-14,6934.0,260.0,245.0,13.0,183.213,6.87,6.474,0.34299999999999997,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
40,POL,Europe,Poland,2020-04-15,7202.0,268.0,263.0,18.0,190.294,7.081,6.949,0.47600000000000003,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
41,POL,Europe,Poland,2020-04-16,7582.0,380.0,286.0,23.0,200.335,10.041,7.557,0.608,,,,,,,,83.33,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,,5.91,23.3,33.1,,6.62,78.73
