,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,RUS,Europe,Russia,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
1,RUS,Europe,Russia,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
2,RUS,Europe,Russia,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
3,RUS,Europe,Russia,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
4,RUS,Europe,Russia,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
5,RUS,Europe,Russia,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
6,RUS,Europe,Russia,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
7,RUS,Europe,Russia,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
8,RUS,Europe,Russia,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
9,RUS,Europe,Russia,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
10,RUS,Europe,Russia,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
11,RUS,Europe,Russia,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
12,RUS,Europe,Russia,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
13,RUS,Europe,Russia,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,,6.18,23.4,58.3,,8.05,72.58
