,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,RWA,Africa,Rwanda,2020-03-15,1.0,1.0,,0.0,0.077,0.077,,0.0,,,,,,,,30.09,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
1,RWA,Africa,Rwanda,2020-03-16,5.0,4.0,,0.0,0.386,0.309,,0.0,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
2,RWA,Africa,Rwanda,2020-03-17,5.0,0.0,,0.0,0.386,0.0,,0.0,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
3,RWA,Africa,Rwanda,2020-03-18,7.0,2.0,,0.0,0.54,0.154,,0.0,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
4,RWA,Africa,Rwanda,2020-03-19,11.0,4.0,,0.0,0.8490000000000001,0.309,,0.0,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
5,RWA,Africa,Rwanda,2020-03-20,11.0,0.0,,0.0,0.8490000000000001,0.0,,0.0,,,,,,,,42.59,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
6,RWA,Africa,Rwanda,2020-03-21,17.0,6.0,,0.0,1.3130000000000002,0.46299999999999997,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
7,RWA,Africa,Rwanda,2020-03-22,17.0,0.0,,0.0,1.3130000000000002,0.0,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
8,RWA,Africa,Rwanda,2020-03-23,19.0,2.0,,0.0,1.4669999999999999,0.154,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
9,RWA,Africa,Rwanda,2020-03-24,36.0,17.0,,0.0,2.779,1.3130000000000002,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
10,RWA,Africa,Rwanda,2020-03-25,40.0,4.0,,0.0,3.088,0.309,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
11,RWA,Africa,Rwanda,2020-03-26,41.0,1.0,,0.0,3.165,0.077,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
12,RWA,Africa,Rwanda,2020-03-27,50.0,9.0,,0.0,3.86,0.695,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
13,RWA,Africa,Rwanda,2020-03-28,54.0,4.0,,0.0,4.169,0.309,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
14,RWA,Africa,Rwanda,2020-03-29,60.0,6.0,,0.0,4.632,0.46299999999999997,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
15,RWA,Africa,Rwanda,2020-03-30,70.0,10.0,,0.0,5.404,0.772,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
16,RWA,Africa,Rwanda,2020-03-31,70.0,0.0,,0.0,5.404,0.0,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
17,RWA,Africa,Rwanda,2020-04-01,75.0,5.0,,0.0,5.791,0.386,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
18,RWA,Africa,Rwanda,2020-04-02,82.0,7.0,,0.0,6.331,0.54,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
19,RWA,Africa,Rwanda,2020-04-03,82.0,0.0,,0.0,6.331,0.0,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
20,RWA,Africa,Rwanda,2020-04-04,89.0,7.0,,0.0,6.871,0.54,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
21,RWA,Africa,Rwanda,2020-04-05,102.0,13.0,,0.0,7.875,1.004,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
22,RWA,Africa,Rwanda,2020-04-06,104.0,2.0,,0.0,8.03,0.154,,0.0,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
23,RWA,Africa,Rwanda,2020-04-07,105.0,1.0,,0.0,8.107000000000001,0.077,,0.0,6507.0,,0.502,,,,samples tested,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
24,RWA,Africa,Rwanda,2020-04-08,105.0,0.0,,0.0,8.107000000000001,0.0,,0.0,7279.0,772.0,0.562,0.06,,,samples tested,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,,4.28,4.7,21.0,4.617,,69.02
