,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LCA,North America,Saint Lucia,2020-03-15,2.0,2.0,,0.0,10.892000000000001,10.892000000000001,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
1,LCA,North America,Saint Lucia,2020-03-16,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
2,LCA,North America,Saint Lucia,2020-03-17,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
3,LCA,North America,Saint Lucia,2020-03-18,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
4,LCA,North America,Saint Lucia,2020-03-19,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
5,LCA,North America,Saint Lucia,2020-03-20,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
6,LCA,North America,Saint Lucia,2020-03-21,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
7,LCA,North America,Saint Lucia,2020-03-22,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
8,LCA,North America,Saint Lucia,2020-03-23,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
9,LCA,North America,Saint Lucia,2020-03-24,2.0,0.0,,0.0,10.892000000000001,0.0,,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,,11.62,,,87.20200000000001,1.3,76.2
