,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,VCT,North America,Saint Vincent and the Grenadines,2020-03-13,1.0,1.0,,0.0,9.013,9.013,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
1,VCT,North America,Saint Vincent and the Grenadines,2020-03-19,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
2,VCT,North America,Saint Vincent and the Grenadines,2020-03-20,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
3,VCT,North America,Saint Vincent and the Grenadines,2020-03-21,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
4,VCT,North America,Saint Vincent and the Grenadines,2020-03-22,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
5,VCT,North America,Saint Vincent and the Grenadines,2020-03-23,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
6,VCT,North America,Saint Vincent and the Grenadines,2020-03-24,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
7,VCT,North America,Saint Vincent and the Grenadines,2020-03-25,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
8,VCT,North America,Saint Vincent and the Grenadines,2020-03-26,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
9,VCT,North America,Saint Vincent and the Grenadines,2020-03-27,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
10,VCT,North America,Saint Vincent and the Grenadines,2020-03-28,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
11,VCT,North America,Saint Vincent and the Grenadines,2020-03-29,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
12,VCT,North America,Saint Vincent and the Grenadines,2020-03-30,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
13,VCT,North America,Saint Vincent and the Grenadines,2020-03-31,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
14,VCT,North America,Saint Vincent and the Grenadines,2020-04-01,1.0,0.0,,0.0,9.013,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
15,VCT,North America,Saint Vincent and the Grenadines,2020-04-02,2.0,1.0,,0.0,18.027,9.013,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
16,VCT,North America,Saint Vincent and the Grenadines,2020-04-03,2.0,0.0,,0.0,18.027,0.0,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
17,VCT,North America,Saint Vincent and the Grenadines,2020-04-04,7.0,5.0,,0.0,63.093,45.067,,0.0,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,11.62,,,,2.6,72.53
