,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,STP,Africa,Sao Tome and Principe,2020-04-09,4.0,4.0,,0.0,18.250999999999998,18.250999999999998,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
1,STP,Africa,Sao Tome and Principe,2020-04-10,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
2,STP,Africa,Sao Tome and Principe,2020-04-11,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
3,STP,Africa,Sao Tome and Principe,2020-04-12,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
4,STP,Africa,Sao Tome and Principe,2020-04-13,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
5,STP,Africa,Sao Tome and Principe,2020-04-14,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
6,STP,Africa,Sao Tome and Principe,2020-04-15,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
7,STP,Africa,Sao Tome and Principe,2020-04-16,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
8,STP,Africa,Sao Tome and Principe,2020-04-17,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
9,STP,Africa,Sao Tome and Principe,2020-04-18,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
10,STP,Africa,Sao Tome and Principe,2020-04-19,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
11,STP,Africa,Sao Tome and Principe,2020-04-20,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
12,STP,Africa,Sao Tome and Principe,2020-04-21,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
13,STP,Africa,Sao Tome and Principe,2020-04-22,4.0,0.0,,0.0,18.250999999999998,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
14,STP,Africa,Sao Tome and Principe,2020-04-23,7.0,3.0,,0.0,31.94,13.689,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
15,STP,Africa,Sao Tome and Principe,2020-04-24,8.0,1.0,,0.0,36.503,4.563,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
16,STP,Africa,Sao Tome and Principe,2020-04-25,8.0,0.0,,0.0,36.503,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
17,STP,Africa,Sao Tome and Principe,2020-04-26,8.0,0.0,,0.0,36.503,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
18,STP,Africa,Sao Tome and Principe,2020-04-27,8.0,0.0,,0.0,36.503,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
19,STP,Africa,Sao Tome and Principe,2020-04-28,8.0,0.0,,0.0,36.503,0.0,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
20,STP,Africa,Sao Tome and Principe,2020-04-29,11.0,3.0,,0.0,50.191,13.689,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
21,STP,Africa,Sao Tome and Principe,2020-04-30,14.0,3.0,,0.0,63.88,13.689,,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
22,STP,Africa,Sao Tome and Principe,2020-05-01,16.0,2.0,1.0,1.0,73.006,9.126,4.563,4.563,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
23,STP,Africa,Sao Tome and Principe,2020-05-02,18.0,2.0,1.0,0.0,82.131,9.126,4.563,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
24,STP,Africa,Sao Tome and Principe,2020-05-03,18.0,0.0,1.0,0.0,82.131,0.0,4.563,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
25,STP,Africa,Sao Tome and Principe,2020-05-04,18.0,0.0,1.0,0.0,82.131,0.0,4.563,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
26,STP,Africa,Sao Tome and Principe,2020-05-05,174.0,156.0,3.0,2.0,793.937,711.805,13.689,9.126,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
27,STP,Africa,Sao Tome and Principe,2020-05-06,174.0,0.0,3.0,0.0,793.937,0.0,13.689,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
28,STP,Africa,Sao Tome and Principe,2020-05-07,174.0,0.0,3.0,0.0,793.937,0.0,13.689,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
29,STP,Africa,Sao Tome and Principe,2020-05-08,187.0,13.0,4.0,1.0,853.2539999999999,59.317,18.250999999999998,4.563,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
30,STP,Africa,Sao Tome and Principe,2020-05-09,208.0,21.0,5.0,1.0,949.074,95.82,22.814,4.563,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,,2.42,,,41.34,2.9,70.39
