,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SAU,Asia,Saudi Arabia,2020-03-02,,,,,,,,,160.0,160.0,0.005,0.005,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
1,SAU,Asia,Saudi Arabia,2020-03-03,1.0,1.0,,0.0,0.028999999999999998,0.028999999999999998,,0.0,400.0,240.0,0.011000000000000001,0.006999999999999999,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
2,SAU,Asia,Saudi Arabia,2020-03-04,,,,,,,,,698.0,298.0,0.02,0.009000000000000001,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
3,SAU,Asia,Saudi Arabia,2020-03-05,,,,,,,,,1185.0,487.0,0.034,0.013999999999999999,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
4,SAU,Asia,Saudi Arabia,2020-03-06,5.0,4.0,,0.0,0.14400000000000002,0.115,,0.0,2209.0,1024.0,0.063,0.028999999999999998,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
5,SAU,Asia,Saudi Arabia,2020-03-07,,,,,,,,,4191.0,1982.0,0.12,0.057,,,tests performed,11.11,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
6,SAU,Asia,Saudi Arabia,2020-03-08,7.0,2.0,,0.0,0.201,0.057,,0.0,5979.0,1788.0,0.172,0.051,,,tests performed,19.44,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
7,SAU,Asia,Saudi Arabia,2020-03-09,11.0,4.0,,0.0,0.316,0.115,,0.0,8180.0,2201.0,0.235,0.063,1146.0,0.033,tests performed,30.56,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
8,SAU,Asia,Saudi Arabia,2020-03-10,15.0,4.0,,0.0,0.431,0.115,,0.0,11835.0,3655.0,0.34,0.105,1634.0,0.047,tests performed,30.56,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
9,SAU,Asia,Saudi Arabia,2020-03-11,20.0,5.0,,0.0,0.574,0.14400000000000002,,0.0,14834.0,2999.0,0.426,0.086,2019.0,0.057999999999999996,tests performed,30.56,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,,17.72,1.8,25.4,,2.7,75.13
