,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SEN,Africa,Senegal,2020-02-28,,,,,,,,,1.0,1.0,0.0,0.0,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
1,SEN,Africa,Senegal,2020-02-29,,,,,,,,,,,,,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
2,SEN,Africa,Senegal,2020-03-01,,,,,,,,,,,,,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
3,SEN,Africa,Senegal,2020-03-02,,,,,,,,,,,,,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
4,SEN,Africa,Senegal,2020-03-03,1.0,1.0,,0.0,0.06,0.06,,0.0,3.0,2.0,0.0,0.0,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
5,SEN,Africa,Senegal,2020-03-04,,,,,,,,,14.0,11.0,0.001,0.001,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
6,SEN,Africa,Senegal,2020-03-05,3.0,2.0,,0.0,0.179,0.11900000000000001,,0.0,,,,,,,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
7,SEN,Africa,Senegal,2020-03-06,4.0,1.0,,0.0,0.239,0.06,,0.0,16.0,2.0,0.001,0.0,2.0,0.0,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
8,SEN,Africa,Senegal,2020-03-07,,,,,,,,,18.0,2.0,0.001,0.0,2.0,0.0,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
9,SEN,Africa,Senegal,2020-03-08,,,,,,,,,20.0,2.0,0.001,0.0,3.0,0.0,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
10,SEN,Africa,Senegal,2020-03-09,,,,,,,,,26.0,6.0,0.002,0.0,3.0,0.0,tests performed,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,,2.42,0.4,16.6,20.859,,67.94
