,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SRB,Europe,Serbia,2020-02-26,,,,,,,,,16.0,,0.002,,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
1,SRB,Europe,Serbia,2020-02-27,,,,,,,,,25.0,9.0,0.004,0.001,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
2,SRB,Europe,Serbia,2020-02-28,,,,,,,,,30.0,5.0,0.004,0.001,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
3,SRB,Europe,Serbia,2020-02-29,,,,,,,,,33.0,3.0,0.005,0.0,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
4,SRB,Europe,Serbia,2020-03-01,,,,,,,,,36.0,3.0,0.005,0.0,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
5,SRB,Europe,Serbia,2020-03-02,,,,,,,,,45.0,9.0,0.006999999999999999,0.001,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
6,SRB,Europe,Serbia,2020-03-03,,,,,,,,,46.0,1.0,0.006999999999999999,0.0,,,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
7,SRB,Europe,Serbia,2020-03-04,,,,,,,,,50.0,4.0,0.006999999999999999,0.001,5.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
8,SRB,Europe,Serbia,2020-03-05,,,,,,,,,,,,,5.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
9,SRB,Europe,Serbia,2020-03-06,,,,,,,,,67.0,,0.01,,5.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
10,SRB,Europe,Serbia,2020-03-07,1.0,1.0,,0.0,0.147,0.147,,0.0,91.0,24.0,0.013000000000000001,0.004,8.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
11,SRB,Europe,Serbia,2020-03-08,,,,,,,,,94.0,3.0,0.013999999999999999,0.0,8.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
12,SRB,Europe,Serbia,2020-03-09,,,,,,,,,101.0,7.0,0.015,0.001,8.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
13,SRB,Europe,Serbia,2020-03-10,,,,,,,,,117.0,16.0,0.017,0.002,10.0,0.001,people tested,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
14,SRB,Europe,Serbia,2020-03-11,5.0,4.0,,0.0,0.735,0.588,,0.0,151.0,34.0,0.022000000000000002,0.005,14.0,0.002,people tested,25.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
15,SRB,Europe,Serbia,2020-03-12,18.0,13.0,,0.0,2.645,1.91,,0.0,185.0,34.0,0.027000000000000003,0.005,18.0,0.003,people tested,25.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
16,SRB,Europe,Serbia,2020-03-13,24.0,6.0,,0.0,3.5269999999999997,0.882,,0.0,239.0,54.0,0.035,0.008,25.0,0.004,people tested,25.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
17,SRB,Europe,Serbia,2020-03-14,41.0,17.0,,0.0,6.025,2.498,,0.0,268.0,29.0,0.039,0.004,25.0,0.004,people tested,25.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
18,SRB,Europe,Serbia,2020-03-15,46.0,5.0,,0.0,6.76,0.735,,0.0,283.0,15.0,0.042,0.002,27.0,0.004,people tested,49.07,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
19,SRB,Europe,Serbia,2020-03-16,55.0,9.0,,0.0,8.083,1.3230000000000002,,0.0,316.0,33.0,0.046,0.005,31.0,0.005,people tested,66.67,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
20,SRB,Europe,Serbia,2020-03-17,57.0,2.0,,0.0,8.377,0.294,,0.0,374.0,58.0,0.055,0.009000000000000001,37.0,0.005,people tested,66.67,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
21,SRB,Europe,Serbia,2020-03-18,72.0,15.0,,0.0,10.581,2.204,,0.0,440.0,66.0,0.065,0.01,41.0,0.006,people tested,81.48,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
22,SRB,Europe,Serbia,2020-03-19,94.0,22.0,,0.0,13.814,3.233,,0.0,506.0,66.0,0.07400000000000001,0.01,46.0,0.006999999999999999,people tested,81.48,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
23,SRB,Europe,Serbia,2020-03-20,126.0,32.0,,0.0,18.517,4.703,,0.0,585.0,79.0,0.086,0.012,49.0,0.006999999999999999,people tested,81.48,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
24,SRB,Europe,Serbia,2020-03-21,135.0,9.0,1.0,1.0,19.84,1.3230000000000002,0.147,0.147,672.0,87.0,0.099,0.013000000000000001,58.0,0.009000000000000001,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
25,SRB,Europe,Serbia,2020-03-22,149.0,14.0,1.0,0.0,21.897,2.057,0.147,0.0,761.0,89.0,0.11199999999999999,0.013000000000000001,68.0,0.01,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
26,SRB,Europe,Serbia,2020-03-23,188.0,39.0,1.0,0.0,27.628,5.731,0.147,0.0,822.0,61.0,0.121,0.009000000000000001,72.0,0.011000000000000001,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
27,SRB,Europe,Serbia,2020-03-24,222.0,34.0,1.0,0.0,32.625,4.997,0.147,0.0,916.0,94.0,0.135,0.013999999999999999,77.0,0.011000000000000001,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
28,SRB,Europe,Serbia,2020-03-25,249.0,27.0,1.0,0.0,36.593,3.968,0.147,0.0,1161.0,245.0,0.171,0.036000000000000004,103.0,0.015,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
29,SRB,Europe,Serbia,2020-03-26,303.0,54.0,2.0,1.0,44.528999999999996,7.936,0.294,0.147,1456.0,295.0,0.214,0.043,136.0,0.02,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
30,SRB,Europe,Serbia,2020-03-27,384.0,81.0,3.0,1.0,56.431999999999995,11.904000000000002,0.441,0.147,1715.0,259.0,0.252,0.038,161.0,0.024,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
31,SRB,Europe,Serbia,2020-03-28,457.0,73.0,6.0,3.0,67.16,10.728,0.882,0.441,2086.0,371.0,0.307,0.055,202.0,0.03,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
32,SRB,Europe,Serbia,2020-03-29,659.0,202.0,10.0,4.0,96.846,29.686,1.47,0.588,2462.0,376.0,0.36200000000000004,0.055,243.0,0.036000000000000004,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
33,SRB,Europe,Serbia,2020-03-30,741.0,82.0,13.0,3.0,108.897,12.050999999999998,1.91,0.441,3084.0,622.0,0.45299999999999996,0.091,323.0,0.047,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
34,SRB,Europe,Serbia,2020-03-31,785.0,44.0,16.0,3.0,115.363,6.466,2.351,0.441,3561.0,477.0,0.523,0.07,378.0,0.055999999999999994,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
35,SRB,Europe,Serbia,2020-04-01,900.0,115.0,23.0,7.0,132.264,16.9,3.38,1.0290000000000001,4371.0,810.0,0.642,0.11900000000000001,459.0,0.067,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
36,SRB,Europe,Serbia,2020-04-02,1060.0,160.0,23.0,0.0,155.77700000000002,23.514,3.38,0.0,5008.0,637.0,0.736,0.094,507.0,0.075,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
37,SRB,Europe,Serbia,2020-04-03,1171.0,111.0,31.0,8.0,172.09,16.313,4.556,1.176,5756.0,748.0,0.846,0.11,577.0,0.085,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
38,SRB,Europe,Serbia,2020-04-04,1476.0,305.0,39.0,8.0,216.912,44.823,5.731,1.176,6401.0,645.0,0.941,0.095,616.0,0.091,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
39,SRB,Europe,Serbia,2020-04-05,1624.0,148.0,44.0,5.0,238.662,21.75,6.466,0.735,7360.0,959.0,1.082,0.141,700.0,0.10300000000000001,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
40,SRB,Europe,Serbia,2020-04-06,1908.0,284.0,51.0,7.0,280.399,41.736000000000004,7.495,1.0290000000000001,8552.0,1192.0,1.2570000000000001,0.175,781.0,0.115,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
41,SRB,Europe,Serbia,2020-04-07,2200.0,292.0,58.0,7.0,323.311,42.912,8.524,1.0290000000000001,9626.0,1074.0,1.415,0.158,866.0,0.127,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
42,SRB,Europe,Serbia,2020-04-08,2447.0,247.0,61.0,3.0,359.61,36.299,8.965,0.441,10761.0,1135.0,1.581,0.16699999999999998,913.0,0.134,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
43,SRB,Europe,Serbia,2020-04-09,2666.0,219.0,65.0,4.0,391.79400000000004,32.184,9.552,0.588,12347.0,1586.0,1.815,0.233,1048.0,0.154,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
44,SRB,Europe,Serbia,2020-04-10,2867.0,201.0,66.0,1.0,421.333,29.539,9.699,0.147,14240.0,1893.0,2.093,0.278,1212.0,0.17800000000000002,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
45,SRB,Europe,Serbia,2020-04-11,3105.0,238.0,71.0,5.0,456.309,34.976,10.434000000000001,0.735,16399.0,2159.0,2.41,0.317,1428.0,0.21,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
46,SRB,Europe,Serbia,2020-04-12,3380.0,275.0,74.0,3.0,496.723,40.414,10.875,0.441,18312.0,1913.0,2.6910000000000003,0.281,1565.0,0.23,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
47,SRB,Europe,Serbia,2020-04-13,3630.0,250.0,80.0,6.0,533.4630000000001,36.74,11.757,0.882,20958.0,2646.0,3.08,0.389,1772.0,0.26,people tested,100.0,6804596.0,80.291,41.2,17.366,,14048.881000000001,,,10.08,37.7,40.2,97.719,5.609,76.0
