,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SYC,Africa,Seychelles,2020-03-15,2.0,2.0,,0.0,20.338,20.338,,0.0,,,,,,,,25.0,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
1,SYC,Africa,Seychelles,2020-03-16,3.0,1.0,,0.0,30.506,10.169,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
2,SYC,Africa,Seychelles,2020-03-17,4.0,1.0,,0.0,40.675,10.169,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
3,SYC,Africa,Seychelles,2020-03-18,4.0,0.0,,0.0,40.675,0.0,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
4,SYC,Africa,Seychelles,2020-03-19,6.0,2.0,,0.0,61.013000000000005,20.338,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
5,SYC,Africa,Seychelles,2020-03-20,6.0,0.0,,0.0,61.013000000000005,0.0,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
6,SYC,Africa,Seychelles,2020-03-21,7.0,1.0,,0.0,71.182,10.169,,0.0,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
7,SYC,Africa,Seychelles,2020-03-22,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,39.81,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
8,SYC,Africa,Seychelles,2020-03-23,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
9,SYC,Africa,Seychelles,2020-03-24,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
10,SYC,Africa,Seychelles,2020-03-25,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
11,SYC,Africa,Seychelles,2020-03-26,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
12,SYC,Africa,Seychelles,2020-03-27,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
13,SYC,Africa,Seychelles,2020-03-28,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
14,SYC,Africa,Seychelles,2020-03-29,7.0,0.0,,0.0,71.182,0.0,,0.0,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
15,SYC,Africa,Seychelles,2020-03-30,8.0,1.0,,0.0,81.35,10.169,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
16,SYC,Africa,Seychelles,2020-03-31,10.0,2.0,,0.0,101.68799999999999,20.338,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
17,SYC,Africa,Seychelles,2020-04-01,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
18,SYC,Africa,Seychelles,2020-04-02,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
19,SYC,Africa,Seychelles,2020-04-03,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
20,SYC,Africa,Seychelles,2020-04-04,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
21,SYC,Africa,Seychelles,2020-04-05,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
22,SYC,Africa,Seychelles,2020-04-06,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
23,SYC,Africa,Seychelles,2020-04-07,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,52.78,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
24,SYC,Africa,Seychelles,2020-04-08,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,82.41,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
25,SYC,Africa,Seychelles,2020-04-09,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
26,SYC,Africa,Seychelles,2020-04-10,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
27,SYC,Africa,Seychelles,2020-04-11,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
28,SYC,Africa,Seychelles,2020-04-12,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
29,SYC,Africa,Seychelles,2020-04-13,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
30,SYC,Africa,Seychelles,2020-04-14,10.0,0.0,,0.0,101.68799999999999,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
31,SYC,Africa,Seychelles,2020-04-15,11.0,1.0,,0.0,111.85700000000001,10.169,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
32,SYC,Africa,Seychelles,2020-04-16,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
33,SYC,Africa,Seychelles,2020-04-17,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
34,SYC,Africa,Seychelles,2020-04-18,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
35,SYC,Africa,Seychelles,2020-04-19,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
36,SYC,Africa,Seychelles,2020-04-20,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
37,SYC,Africa,Seychelles,2020-04-21,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
38,SYC,Africa,Seychelles,2020-04-22,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
39,SYC,Africa,Seychelles,2020-04-23,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
40,SYC,Africa,Seychelles,2020-04-24,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
41,SYC,Africa,Seychelles,2020-04-25,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
42,SYC,Africa,Seychelles,2020-04-26,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
43,SYC,Africa,Seychelles,2020-04-27,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
44,SYC,Africa,Seychelles,2020-04-28,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
45,SYC,Africa,Seychelles,2020-04-29,11.0,0.0,,0.0,111.85700000000001,0.0,,0.0,,,,,,,,93.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,,10.55,7.1,35.7,,3.6,73.4
