,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SLE,Africa,Sierra Leone,2020-04-01,1.0,1.0,,0.0,0.125,0.125,,0.0,,,,,,,,60.19,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
1,SLE,Africa,Sierra Leone,2020-04-02,1.0,0.0,,0.0,0.125,0.0,,0.0,,,,,,,,60.19,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
2,SLE,Africa,Sierra Leone,2020-04-03,2.0,1.0,,0.0,0.251,0.125,,0.0,,,,,,,,60.19,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
3,SLE,Africa,Sierra Leone,2020-04-04,2.0,0.0,,0.0,0.251,0.0,,0.0,,,,,,,,60.19,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
4,SLE,Africa,Sierra Leone,2020-04-05,4.0,2.0,,0.0,0.501,0.251,,0.0,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
5,SLE,Africa,Sierra Leone,2020-04-06,6.0,2.0,,0.0,0.752,0.251,,0.0,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
6,SLE,Africa,Sierra Leone,2020-04-07,6.0,0.0,,0.0,0.752,0.0,,0.0,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
7,SLE,Africa,Sierra Leone,2020-04-08,6.0,0.0,,0.0,0.752,0.0,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
8,SLE,Africa,Sierra Leone,2020-04-09,7.0,1.0,,0.0,0.878,0.125,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
9,SLE,Africa,Sierra Leone,2020-04-10,7.0,0.0,,0.0,0.878,0.0,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
10,SLE,Africa,Sierra Leone,2020-04-11,8.0,1.0,,0.0,1.003,0.125,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
11,SLE,Africa,Sierra Leone,2020-04-12,10.0,2.0,,0.0,1.254,0.251,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
12,SLE,Africa,Sierra Leone,2020-04-13,10.0,0.0,,0.0,1.254,0.0,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
13,SLE,Africa,Sierra Leone,2020-04-14,11.0,1.0,,0.0,1.379,0.125,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
14,SLE,Africa,Sierra Leone,2020-04-15,11.0,0.0,,0.0,1.379,0.0,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
15,SLE,Africa,Sierra Leone,2020-04-16,13.0,2.0,,0.0,1.63,0.251,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
16,SLE,Africa,Sierra Leone,2020-04-17,15.0,2.0,,0.0,1.88,0.251,,0.0,,,,,,,,78.7,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
17,SLE,Africa,Sierra Leone,2020-04-18,26.0,11.0,,0.0,3.259,1.379,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
18,SLE,Africa,Sierra Leone,2020-04-19,30.0,4.0,,0.0,3.761,0.501,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
19,SLE,Africa,Sierra Leone,2020-04-20,35.0,5.0,,0.0,4.388,0.627,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
20,SLE,Africa,Sierra Leone,2020-04-21,43.0,8.0,,0.0,5.391,1.003,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
21,SLE,Africa,Sierra Leone,2020-04-22,50.0,7.0,,0.0,6.268,0.878,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
22,SLE,Africa,Sierra Leone,2020-04-23,61.0,11.0,,0.0,7.647,1.379,,0.0,,,,,,,,84.26,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,,2.42,8.8,41.3,19.275,,54.7
