,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SGP,Asia,Singapore,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
1,SGP,Asia,Singapore,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
2,SGP,Asia,Singapore,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
3,SGP,Asia,Singapore,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
4,SGP,Asia,Singapore,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
5,SGP,Asia,Singapore,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
6,SGP,Asia,Singapore,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
7,SGP,Asia,Singapore,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
8,SGP,Asia,Singapore,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
9,SGP,Asia,Singapore,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
10,SGP,Asia,Singapore,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
11,SGP,Asia,Singapore,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
12,SGP,Asia,Singapore,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
13,SGP,Asia,Singapore,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
14,SGP,Asia,Singapore,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
15,SGP,Asia,Singapore,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
16,SGP,Asia,Singapore,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
17,SGP,Asia,Singapore,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
18,SGP,Asia,Singapore,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
19,SGP,Asia,Singapore,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
20,SGP,Asia,Singapore,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,,10.99,5.2,28.3,,2.4,83.62
