,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SVK,Europe,Slovakia,2020-03-06,,,,,,,,,378.0,378.0,0.069,0.069,,,tests performed,16.67,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
1,SVK,Europe,Slovakia,2020-03-07,1.0,1.0,,0.0,0.183,0.183,,0.0,444.0,66.0,0.081,0.012,,,tests performed,16.67,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
2,SVK,Europe,Slovakia,2020-03-08,3.0,2.0,,0.0,0.5489999999999999,0.366,,0.0,520.0,76.0,0.095,0.013999999999999999,,,tests performed,16.67,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
3,SVK,Europe,Slovakia,2020-03-09,5.0,2.0,,0.0,0.9159999999999999,0.366,,0.0,589.0,69.0,0.10800000000000001,0.013000000000000001,,,tests performed,22.22,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
4,SVK,Europe,Slovakia,2020-03-10,,,,,,,,,700.0,111.0,0.128,0.02,,,tests performed,37.04,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
5,SVK,Europe,Slovakia,2020-03-11,7.0,2.0,,0.0,1.2819999999999998,0.366,,0.0,797.0,97.0,0.146,0.018000000000000002,,,tests performed,37.04,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
6,SVK,Europe,Slovakia,2020-03-12,10.0,3.0,,0.0,1.8319999999999999,0.5489999999999999,,0.0,892.0,95.0,0.163,0.017,,,tests performed,49.07,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
7,SVK,Europe,Slovakia,2020-03-13,21.0,11.0,,0.0,3.846,2.015,,0.0,950.0,58.0,0.174,0.011000000000000001,82.0,0.015,tests performed,62.04,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
8,SVK,Europe,Slovakia,2020-03-14,30.0,9.0,,0.0,5.495,1.6480000000000001,,0.0,1147.0,197.0,0.21,0.036000000000000004,100.0,0.018000000000000002,tests performed,67.59,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
9,SVK,Europe,Slovakia,2020-03-15,44.0,14.0,,0.0,8.059,2.5639999999999996,,0.0,1436.0,289.0,0.263,0.053,131.0,0.024,tests performed,67.59,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,,7.29,23.1,37.7,,5.82,77.54
