,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SVN,Europe,Slovenia,2020-03-05,1.0,1.0,,0.0,0.48100000000000004,0.48100000000000004,,0.0,,,,,,,,11.11,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
1,SVN,Europe,Slovenia,2020-03-06,6.0,5.0,,0.0,2.886,2.405,,0.0,,,,,,,,11.11,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
2,SVN,Europe,Slovenia,2020-03-07,9.0,3.0,,0.0,4.329,1.443,,0.0,,,,,,,,16.67,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
3,SVN,Europe,Slovenia,2020-03-08,12.0,3.0,,0.0,5.772,1.443,,0.0,,,,,,,,16.67,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
4,SVN,Europe,Slovenia,2020-03-09,16.0,4.0,,0.0,7.696000000000001,1.9240000000000002,,0.0,,,,,,,,16.67,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
5,SVN,Europe,Slovenia,2020-03-11,31.0,15.0,,0.0,14.912,7.215,,0.0,,,,,,,,25.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
6,SVN,Europe,Slovenia,2020-03-12,57.0,26.0,,0.0,27.418000000000003,12.505999999999998,,0.0,3863.0,,1.858,,,,tests performed,25.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
7,SVN,Europe,Slovenia,2020-03-13,96.0,39.0,,0.0,46.178000000000004,18.76,,0.0,5060.0,1197.0,2.434,0.5760000000000001,,,tests performed,25.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
8,SVN,Europe,Slovenia,2020-03-14,141.0,45.0,,0.0,67.82300000000001,21.646,,0.0,5976.0,916.0,2.875,0.441,,,tests performed,28.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
9,SVN,Europe,Slovenia,2020-03-15,181.0,40.0,,0.0,87.064,19.241,,0.0,6566.0,590.0,3.158,0.284,,,tests performed,28.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
10,SVN,Europe,Slovenia,2020-03-16,219.0,38.0,,0.0,105.34299999999999,18.279,,0.0,7437.0,871.0,3.577,0.419,,,tests performed,50.93,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
11,SVN,Europe,Slovenia,2020-03-17,253.0,34.0,,0.0,121.697,16.355,,0.0,8558.0,1121.0,4.117,0.539,,,tests performed,50.93,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
12,SVN,Europe,Slovenia,2020-03-18,275.0,22.0,1.0,1.0,132.279,10.582,0.48100000000000004,0.48100000000000004,9584.0,1026.0,4.61,0.494,,,tests performed,50.93,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
13,SVN,Europe,Slovenia,2020-03-19,286.0,11.0,1.0,0.0,137.571,5.291,0.48100000000000004,0.0,10768.0,1184.0,5.18,0.57,986.0,0.474,tests performed,67.59,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
14,SVN,Europe,Slovenia,2020-03-20,319.0,33.0,1.0,0.0,153.444,15.874,0.48100000000000004,0.0,12010.0,1242.0,5.777,0.597,993.0,0.478,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
15,SVN,Europe,Slovenia,2020-03-21,341.0,22.0,1.0,0.0,164.02700000000002,10.582,0.48100000000000004,0.0,12882.0,872.0,6.196000000000001,0.419,987.0,0.475,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
16,SVN,Europe,Slovenia,2020-03-22,383.0,42.0,1.0,0.0,184.229,20.203,0.48100000000000004,0.0,13613.0,731.0,6.547999999999999,0.35200000000000004,1007.0,0.484,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,,,7.25,20.1,25.0,,4.5,81.32
