,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SLB,Oceania,Solomon Islands,2020-10-16,2.0,2.0,,0.0,2.912,2.912,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
1,SLB,Oceania,Solomon Islands,2020-10-17,3.0,1.0,,0.0,4.368,1.456,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
2,SLB,Oceania,Solomon Islands,2020-10-18,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
3,SLB,Oceania,Solomon Islands,2020-10-19,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
4,SLB,Oceania,Solomon Islands,2020-10-20,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
5,SLB,Oceania,Solomon Islands,2020-10-21,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
6,SLB,Oceania,Solomon Islands,2020-10-22,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
7,SLB,Oceania,Solomon Islands,2020-10-23,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
8,SLB,Oceania,Solomon Islands,2020-10-24,3.0,0.0,,0.0,4.368,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
9,SLB,Oceania,Solomon Islands,2020-10-25,4.0,1.0,,0.0,5.8229999999999995,1.456,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
10,SLB,Oceania,Solomon Islands,2020-10-26,4.0,0.0,,0.0,5.8229999999999995,0.0,,0.0,,,,,,,,,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,,18.68,,,35.89,1.4,73.0
