,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SOM,Africa,Somalia,2020-03-17,1.0,1.0,,0.0,0.063,0.063,,0.0,,,,,,,,8.33,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
1,SOM,Africa,Somalia,2020-03-18,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,11.11,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
2,SOM,Africa,Somalia,2020-03-19,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,41.67,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
3,SOM,Africa,Somalia,2020-03-20,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,41.67,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
4,SOM,Africa,Somalia,2020-03-21,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
5,SOM,Africa,Somalia,2020-03-22,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
6,SOM,Africa,Somalia,2020-03-23,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
7,SOM,Africa,Somalia,2020-03-24,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
8,SOM,Africa,Somalia,2020-03-25,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
9,SOM,Africa,Somalia,2020-03-26,1.0,0.0,,0.0,0.063,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
10,SOM,Africa,Somalia,2020-03-27,2.0,1.0,,0.0,0.126,0.063,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
11,SOM,Africa,Somalia,2020-03-28,3.0,1.0,,0.0,0.18899999999999997,0.063,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
12,SOM,Africa,Somalia,2020-03-29,3.0,0.0,,0.0,0.18899999999999997,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
13,SOM,Africa,Somalia,2020-03-30,3.0,0.0,,0.0,0.18899999999999997,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
14,SOM,Africa,Somalia,2020-03-31,3.0,0.0,,0.0,0.18899999999999997,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
15,SOM,Africa,Somalia,2020-04-01,3.0,0.0,,0.0,0.18899999999999997,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
16,SOM,Africa,Somalia,2020-04-02,5.0,2.0,,0.0,0.315,0.126,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
17,SOM,Africa,Somalia,2020-04-03,5.0,0.0,,0.0,0.315,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
18,SOM,Africa,Somalia,2020-04-04,5.0,0.0,,0.0,0.315,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
19,SOM,Africa,Somalia,2020-04-05,7.0,2.0,,0.0,0.44,0.126,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
20,SOM,Africa,Somalia,2020-04-06,7.0,0.0,,0.0,0.44,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
21,SOM,Africa,Somalia,2020-04-07,7.0,0.0,,0.0,0.44,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
22,SOM,Africa,Somalia,2020-04-08,8.0,1.0,,0.0,0.503,0.063,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
23,SOM,Africa,Somalia,2020-04-09,8.0,0.0,,0.0,0.503,0.0,,0.0,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
24,SOM,Africa,Somalia,2020-04-10,12.0,4.0,1.0,1.0,0.755,0.252,0.063,0.063,,,,,,,,52.78,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,,6.05,,,9.831,0.9,57.4
