,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ZAF,Africa,South Africa,2020-02-07,,,,,,,,,42.0,,0.001,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
1,ZAF,Africa,South Africa,2020-02-08,,,,,,,,,,,,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
2,ZAF,Africa,South Africa,2020-02-09,,,,,,,,,,,,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
3,ZAF,Africa,South Africa,2020-02-10,,,,,,,,,,,,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
4,ZAF,Africa,South Africa,2020-02-11,,,,,,,,,61.0,,0.001,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
5,ZAF,Africa,South Africa,2020-02-12,,,,,,,,,,,,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
6,ZAF,Africa,South Africa,2020-02-13,,,,,,,,,67.0,,0.001,,,,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
7,ZAF,Africa,South Africa,2020-02-14,,,,,,,,,71.0,4.0,0.001,0.0,4.0,0.0,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
8,ZAF,Africa,South Africa,2020-02-15,,,,,,,,,,,,,4.0,0.0,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
9,ZAF,Africa,South Africa,2020-02-16,,,,,,,,,,,,,4.0,0.0,people tested,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,,5.52,8.1,33.2,43.993,2.32,64.13
