,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SDN,Africa,Sudan,2020-03-14,1.0,1.0,,0.0,0.023,0.023,,0.0,,,,,,,,45.37,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
1,SDN,Africa,Sudan,2020-03-15,1.0,0.0,1.0,1.0,0.023,0.0,0.023,0.023,,,,,,,,45.37,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
2,SDN,Africa,Sudan,2020-03-16,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
3,SDN,Africa,Sudan,2020-03-17,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
4,SDN,Africa,Sudan,2020-03-18,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
5,SDN,Africa,Sudan,2020-03-19,2.0,1.0,1.0,0.0,0.046,0.023,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
6,SDN,Africa,Sudan,2020-03-20,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
7,SDN,Africa,Sudan,2020-03-21,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
8,SDN,Africa,Sudan,2020-03-22,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,,,,,,,56.48,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
9,SDN,Africa,Sudan,2020-03-23,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,,,,,,,65.74,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
10,SDN,Africa,Sudan,2020-03-24,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,,,,,,,65.74,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
11,SDN,Africa,Sudan,2020-03-25,3.0,1.0,1.0,0.0,0.068,0.023,0.023,0.0,,,,,,,,65.74,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
12,SDN,Africa,Sudan,2020-03-26,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
13,SDN,Africa,Sudan,2020-03-27,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
14,SDN,Africa,Sudan,2020-03-28,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
15,SDN,Africa,Sudan,2020-03-29,5.0,2.0,1.0,0.0,0.114,0.046,0.023,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
16,SDN,Africa,Sudan,2020-03-30,5.0,0.0,1.0,0.0,0.114,0.0,0.023,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
17,SDN,Africa,Sudan,2020-03-31,6.0,1.0,2.0,1.0,0.13699999999999998,0.023,0.046,0.023,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
18,SDN,Africa,Sudan,2020-04-01,7.0,1.0,2.0,0.0,0.16,0.023,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
19,SDN,Africa,Sudan,2020-04-02,7.0,0.0,2.0,0.0,0.16,0.0,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
20,SDN,Africa,Sudan,2020-04-03,7.0,0.0,2.0,0.0,0.16,0.0,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
21,SDN,Africa,Sudan,2020-04-04,7.0,0.0,2.0,0.0,0.16,0.0,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
22,SDN,Africa,Sudan,2020-04-05,10.0,3.0,2.0,0.0,0.228,0.068,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
23,SDN,Africa,Sudan,2020-04-06,12.0,2.0,2.0,0.0,0.27399999999999997,0.046,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
24,SDN,Africa,Sudan,2020-04-07,12.0,0.0,2.0,0.0,0.27399999999999997,0.0,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
25,SDN,Africa,Sudan,2020-04-08,14.0,2.0,2.0,0.0,0.319,0.046,0.046,0.0,,,,,,,,76.85,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,15.67,,,23.436999999999998,0.8,65.31
