,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SWZ,Africa,Swaziland,2020-03-15,1.0,1.0,,0.0,0.862,0.862,,0.0,,,,,,,,19.44,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
1,SWZ,Africa,Swaziland,2020-03-16,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,19.44,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
2,SWZ,Africa,Swaziland,2020-03-17,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
3,SWZ,Africa,Swaziland,2020-03-18,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
4,SWZ,Africa,Swaziland,2020-03-19,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
5,SWZ,Africa,Swaziland,2020-03-20,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
6,SWZ,Africa,Swaziland,2020-03-21,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
7,SWZ,Africa,Swaziland,2020-03-22,1.0,0.0,,0.0,0.862,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
8,SWZ,Africa,Swaziland,2020-03-23,4.0,3.0,,0.0,3.448,2.5860000000000003,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
9,SWZ,Africa,Swaziland,2020-03-24,4.0,0.0,,0.0,3.448,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
10,SWZ,Africa,Swaziland,2020-03-25,4.0,0.0,,0.0,3.448,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
11,SWZ,Africa,Swaziland,2020-03-26,4.0,0.0,,0.0,3.448,0.0,,0.0,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
12,SWZ,Africa,Swaziland,2020-03-27,6.0,2.0,,0.0,5.172000000000001,1.724,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
13,SWZ,Africa,Swaziland,2020-03-28,9.0,3.0,,0.0,7.757999999999999,2.5860000000000003,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
14,SWZ,Africa,Swaziland,2020-03-29,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
15,SWZ,Africa,Swaziland,2020-03-30,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
16,SWZ,Africa,Swaziland,2020-03-31,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
17,SWZ,Africa,Swaziland,2020-04-01,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
18,SWZ,Africa,Swaziland,2020-04-02,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
19,SWZ,Africa,Swaziland,2020-04-03,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
20,SWZ,Africa,Swaziland,2020-04-04,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
21,SWZ,Africa,Swaziland,2020-04-05,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
22,SWZ,Africa,Swaziland,2020-04-06,9.0,0.0,,0.0,7.757999999999999,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
23,SWZ,Africa,Swaziland,2020-04-07,10.0,1.0,,0.0,8.619,0.862,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
24,SWZ,Africa,Swaziland,2020-04-08,10.0,0.0,,0.0,8.619,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
25,SWZ,Africa,Swaziland,2020-04-09,12.0,2.0,,0.0,10.343,1.724,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
26,SWZ,Africa,Swaziland,2020-04-10,12.0,0.0,,0.0,10.343,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
27,SWZ,Africa,Swaziland,2020-04-11,12.0,0.0,,0.0,10.343,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
28,SWZ,Africa,Swaziland,2020-04-12,14.0,2.0,,0.0,12.067,1.724,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
29,SWZ,Africa,Swaziland,2020-04-13,14.0,0.0,,0.0,12.067,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
30,SWZ,Africa,Swaziland,2020-04-14,15.0,1.0,,0.0,12.929,0.862,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
31,SWZ,Africa,Swaziland,2020-04-15,15.0,0.0,,0.0,12.929,0.0,,0.0,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
32,SWZ,Africa,Swaziland,2020-04-16,16.0,1.0,,0.0,13.790999999999999,0.862,,0.0,,,,,,,,84.26,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
33,SWZ,Africa,Swaziland,2020-04-17,16.0,0.0,,0.0,13.790999999999999,0.0,,0.0,,,,,,,,84.26,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
34,SWZ,Africa,Swaziland,2020-04-18,19.0,3.0,1.0,1.0,16.377,2.5860000000000003,0.862,0.862,,,,,,,,84.26,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
35,SWZ,Africa,Swaziland,2020-04-19,19.0,0.0,1.0,0.0,16.377,0.0,0.862,0.0,,,,,,,,84.26,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,,3.94,1.7,16.5,24.096999999999998,2.1,60.19
