,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,TWN,Asia,Taiwan,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,23816775.0,,42.2,,8.353,,,,,,,,,80.46
1,TWN,Asia,Taiwan,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,2.78,23816775.0,,42.2,,8.353,,,,,,,,,80.46
2,TWN,Asia,Taiwan,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
3,TWN,Asia,Taiwan,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
4,TWN,Asia,Taiwan,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
5,TWN,Asia,Taiwan,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
6,TWN,Asia,Taiwan,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
7,TWN,Asia,Taiwan,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
8,TWN,Asia,Taiwan,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
9,TWN,Asia,Taiwan,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
10,TWN,Asia,Taiwan,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
11,TWN,Asia,Taiwan,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
12,TWN,Asia,Taiwan,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
13,TWN,Asia,Taiwan,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
14,TWN,Asia,Taiwan,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
15,TWN,Asia,Taiwan,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
16,TWN,Asia,Taiwan,2020-01-16,,0.0,,0.0,,0.0,,0.0,4.0,4.0,0.0,0.0,,,people tested,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
17,TWN,Asia,Taiwan,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,people tested,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
18,TWN,Asia,Taiwan,2020-01-18,,0.0,,0.0,,0.0,,0.0,5.0,1.0,0.0,0.0,,,people tested,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
19,TWN,Asia,Taiwan,2020-01-19,,0.0,,0.0,,0.0,,0.0,6.0,1.0,0.0,0.0,,,people tested,8.33,23816775.0,,42.2,,8.353,,,,,,,,,80.46
20,TWN,Asia,Taiwan,2020-01-20,,0.0,,0.0,,0.0,,0.0,8.0,2.0,0.0,0.0,,,people tested,13.89,23816775.0,,42.2,,8.353,,,,,,,,,80.46
21,TWN,Asia,Taiwan,2020-01-21,1.0,1.0,,0.0,0.042,0.042,,0.0,20.0,12.0,0.001,0.001,,,people tested,13.89,23816775.0,,42.2,,8.353,,,,,,,,,80.46
22,TWN,Asia,Taiwan,2020-01-22,1.0,0.0,,0.0,0.042,0.0,,0.0,64.0,44.0,0.003,0.002,,,people tested,13.89,23816775.0,,42.2,,8.353,,,,,,,,,80.46
23,TWN,Asia,Taiwan,2020-01-23,1.0,0.0,,0.0,0.042,0.0,,0.0,134.0,70.0,0.006,0.003,19.0,0.001,people tested,19.44,23816775.0,,42.2,,8.353,,,,,,,,,80.46
24,TWN,Asia,Taiwan,2020-01-24,1.0,0.0,,0.0,0.042,0.0,,0.0,191.0,57.0,0.008,0.002,27.0,0.001,people tested,19.44,23816775.0,,42.2,,8.353,,,,,,,,,80.46
25,TWN,Asia,Taiwan,2020-01-25,3.0,2.0,,0.0,0.126,0.084,,0.0,282.0,91.0,0.012,0.004,40.0,0.002,people tested,19.44,23816775.0,,42.2,,8.353,,,,,,,,,80.46
26,TWN,Asia,Taiwan,2020-01-26,3.0,0.0,,0.0,0.126,0.0,,0.0,399.0,117.0,0.017,0.005,56.0,0.002,people tested,19.44,23816775.0,,42.2,,8.353,,,,,,,,,80.46
