,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,TZA,Africa,Tanzania,2020-03-17,1.0,1.0,,0.0,0.017,0.017,,0.0,,,,,,,,32.41,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
1,TZA,Africa,Tanzania,2020-03-18,1.0,0.0,,0.0,0.017,0.0,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
2,TZA,Africa,Tanzania,2020-03-19,3.0,2.0,,0.0,0.05,0.033,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
3,TZA,Africa,Tanzania,2020-03-20,3.0,0.0,,0.0,0.05,0.0,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
4,TZA,Africa,Tanzania,2020-03-21,3.0,0.0,,0.0,0.05,0.0,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
5,TZA,Africa,Tanzania,2020-03-22,6.0,3.0,,0.0,0.1,0.05,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
6,TZA,Africa,Tanzania,2020-03-23,12.0,6.0,,0.0,0.201,0.1,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
7,TZA,Africa,Tanzania,2020-03-24,12.0,0.0,,0.0,0.201,0.0,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
8,TZA,Africa,Tanzania,2020-03-25,12.0,0.0,,0.0,0.201,0.0,,0.0,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
9,TZA,Africa,Tanzania,2020-03-26,12.0,0.0,,0.0,0.201,0.0,,0.0,,,,,,,,44.44,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
10,TZA,Africa,Tanzania,2020-03-27,13.0,1.0,,0.0,0.218,0.017,,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
11,TZA,Africa,Tanzania,2020-03-28,13.0,0.0,,0.0,0.218,0.0,,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
12,TZA,Africa,Tanzania,2020-03-29,13.0,0.0,1.0,1.0,0.218,0.0,0.017,0.017,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
13,TZA,Africa,Tanzania,2020-03-30,14.0,1.0,1.0,0.0,0.23399999999999999,0.017,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
14,TZA,Africa,Tanzania,2020-03-31,19.0,5.0,1.0,0.0,0.318,0.084,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
15,TZA,Africa,Tanzania,2020-04-01,19.0,0.0,1.0,0.0,0.318,0.0,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
16,TZA,Africa,Tanzania,2020-04-02,20.0,1.0,1.0,0.0,0.335,0.017,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
17,TZA,Africa,Tanzania,2020-04-03,21.0,1.0,1.0,0.0,0.35200000000000004,0.017,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
18,TZA,Africa,Tanzania,2020-04-04,21.0,0.0,1.0,0.0,0.35200000000000004,0.0,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
19,TZA,Africa,Tanzania,2020-04-05,21.0,0.0,1.0,0.0,0.35200000000000004,0.0,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
20,TZA,Africa,Tanzania,2020-04-06,22.0,1.0,1.0,0.0,0.368,0.017,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
21,TZA,Africa,Tanzania,2020-04-07,24.0,2.0,1.0,0.0,0.402,0.033,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
22,TZA,Africa,Tanzania,2020-04-08,24.0,0.0,1.0,0.0,0.402,0.0,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
23,TZA,Africa,Tanzania,2020-04-09,25.0,1.0,1.0,0.0,0.419,0.017,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
24,TZA,Africa,Tanzania,2020-04-10,25.0,0.0,1.0,0.0,0.419,0.0,0.017,0.0,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,,5.75,3.3,26.7,47.953,0.7,65.46
