,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,THA,Asia,Thailand,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
1,THA,Asia,Thailand,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
2,THA,Asia,Thailand,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
3,THA,Asia,Thailand,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
4,THA,Asia,Thailand,2020-01-04,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
5,THA,Asia,Thailand,2020-01-05,,0.0,,0.0,,0.0,,0.0,4.0,2.0,0.0,0.0,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
6,THA,Asia,Thailand,2020-01-06,,0.0,,0.0,,0.0,,0.0,9.0,5.0,0.0,0.0,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
7,THA,Asia,Thailand,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
8,THA,Asia,Thailand,2020-01-08,,0.0,,0.0,,0.0,,0.0,10.0,1.0,0.0,0.0,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
9,THA,Asia,Thailand,2020-01-09,,0.0,,0.0,,0.0,,0.0,23.0,13.0,0.0,0.0,,,tests performed,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,,7.04,1.9,38.8,90.67,2.1,77.15
