,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,TGO,Africa,Togo,2020-03-04,,,,,,,,,2.0,2.0,0.0,0.0,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
1,TGO,Africa,Togo,2020-03-05,,,,,,,,,4.0,2.0,0.0,0.0,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
2,TGO,Africa,Togo,2020-03-06,,,,,,,,,,,,,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
3,TGO,Africa,Togo,2020-03-07,1.0,1.0,,0.0,0.121,0.121,,0.0,5.0,1.0,0.001,0.0,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
4,TGO,Africa,Togo,2020-03-08,,,,,,,,,,,,,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
5,TGO,Africa,Togo,2020-03-09,,,,,,,,,9.0,4.0,0.001,0.0,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
6,TGO,Africa,Togo,2020-03-10,,,,,,,,,13.0,4.0,0.002,0.0,,,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
7,TGO,Africa,Togo,2020-03-11,,,,,,,,,,,,,2.0,0.0,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
8,TGO,Africa,Togo,2020-03-12,,,,,,,,,17.0,4.0,0.002,0.0,2.0,0.0,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
9,TGO,Africa,Togo,2020-03-13,,,,,,,,,,,,,2.0,0.0,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
10,TGO,Africa,Togo,2020-03-14,,,,,,,,,19.0,2.0,0.002,0.0,2.0,0.0,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
11,TGO,Africa,Togo,2020-03-15,1.0,0.0,,0.0,0.121,0.0,,0.0,,,,,2.0,0.0,tests performed,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
12,TGO,Africa,Togo,2020-03-16,1.0,0.0,,0.0,0.121,0.0,,0.0,22.0,3.0,0.003,0.0,2.0,0.0,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
13,TGO,Africa,Togo,2020-03-17,1.0,0.0,,0.0,0.121,0.0,,0.0,34.0,12.0,0.004,0.001,3.0,0.0,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
14,TGO,Africa,Togo,2020-03-18,1.0,0.0,,0.0,0.121,0.0,,0.0,54.0,20.0,0.006999999999999999,0.002,6.0,0.001,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
15,TGO,Africa,Togo,2020-03-19,1.0,0.0,,0.0,0.121,0.0,,0.0,84.0,30.0,0.01,0.004,10.0,0.001,tests performed,27.78,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
16,TGO,Africa,Togo,2020-03-20,1.0,0.0,,0.0,0.121,0.0,,0.0,105.0,21.0,0.013000000000000001,0.003,12.0,0.001,tests performed,61.11,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
17,TGO,Africa,Togo,2020-03-21,9.0,8.0,,0.0,1.087,0.966,,0.0,130.0,25.0,0.016,0.003,16.0,0.002,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
18,TGO,Africa,Togo,2020-03-22,15.0,6.0,,0.0,1.8119999999999998,0.725,,0.0,145.0,15.0,0.018000000000000002,0.002,18.0,0.002,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
19,TGO,Africa,Togo,2020-03-23,15.0,0.0,,0.0,1.8119999999999998,0.0,,0.0,175.0,30.0,0.021,0.004,22.0,0.003,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
20,TGO,Africa,Togo,2020-03-24,18.0,3.0,,0.0,2.174,0.36200000000000004,,0.0,208.0,33.0,0.025,0.004,25.0,0.003,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
21,TGO,Africa,Togo,2020-03-25,18.0,0.0,,0.0,2.174,0.0,,0.0,248.0,40.0,0.03,0.005,28.0,0.003,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
22,TGO,Africa,Togo,2020-03-26,23.0,5.0,,0.0,2.778,0.604,,0.0,290.0,42.0,0.035,0.005,29.0,0.004,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
23,TGO,Africa,Togo,2020-03-27,24.0,1.0,,0.0,2.8989999999999996,0.121,,0.0,319.0,29.0,0.039,0.004,31.0,0.004,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
24,TGO,Africa,Togo,2020-03-28,25.0,1.0,1.0,1.0,3.02,0.121,0.121,0.121,362.0,43.0,0.044000000000000004,0.005,33.0,0.004,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
25,TGO,Africa,Togo,2020-03-29,28.0,3.0,1.0,0.0,3.3819999999999997,0.36200000000000004,0.121,0.0,410.0,48.0,0.05,0.006,38.0,0.005,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
26,TGO,Africa,Togo,2020-03-30,30.0,2.0,1.0,0.0,3.6239999999999997,0.242,0.121,0.0,482.0,72.0,0.057999999999999996,0.009000000000000001,44.0,0.005,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
27,TGO,Africa,Togo,2020-03-31,34.0,4.0,1.0,0.0,4.107,0.483,0.121,0.0,573.0,91.0,0.069,0.011000000000000001,52.0,0.006,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
28,TGO,Africa,Togo,2020-04-01,34.0,0.0,1.0,0.0,4.107,0.0,0.121,0.0,630.0,57.0,0.076,0.006999999999999999,55.0,0.006999999999999999,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
29,TGO,Africa,Togo,2020-04-02,36.0,2.0,2.0,1.0,4.348,0.242,0.242,0.121,724.0,94.0,0.087,0.011000000000000001,62.0,0.006999999999999999,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
30,TGO,Africa,Togo,2020-04-03,39.0,3.0,2.0,0.0,4.711,0.36200000000000004,0.242,0.0,1018.0,294.0,0.12300000000000001,0.036000000000000004,100.0,0.012,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
31,TGO,Africa,Togo,2020-04-04,40.0,1.0,3.0,1.0,4.832,0.121,0.36200000000000004,0.121,1167.0,149.0,0.141,0.018000000000000002,115.0,0.013999999999999999,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
32,TGO,Africa,Togo,2020-04-05,41.0,1.0,3.0,0.0,4.952,0.121,0.36200000000000004,0.0,1334.0,167.0,0.161,0.02,132.0,0.016,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
33,TGO,Africa,Togo,2020-04-06,44.0,3.0,3.0,0.0,5.315,0.36200000000000004,0.36200000000000004,0.0,1484.0,150.0,0.179,0.018000000000000002,143.0,0.017,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
34,TGO,Africa,Togo,2020-04-07,58.0,14.0,3.0,0.0,7.006,1.6909999999999998,0.36200000000000004,0.0,1634.0,150.0,0.19699999999999998,0.018000000000000002,152.0,0.018000000000000002,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
35,TGO,Africa,Togo,2020-04-08,65.0,7.0,3.0,0.0,7.851,0.846,0.36200000000000004,0.0,1764.0,130.0,0.213,0.016,162.0,0.02,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
36,TGO,Africa,Togo,2020-04-09,70.0,5.0,3.0,0.0,8.455,0.604,0.36200000000000004,0.0,1894.0,130.0,0.22899999999999998,0.016,167.0,0.02,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
37,TGO,Africa,Togo,2020-04-10,73.0,3.0,3.0,0.0,8.818,0.36200000000000004,0.36200000000000004,0.0,2086.0,192.0,0.252,0.023,153.0,0.018000000000000002,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
38,TGO,Africa,Togo,2020-04-11,76.0,3.0,3.0,0.0,9.18,0.36200000000000004,0.36200000000000004,0.0,2250.0,164.0,0.272,0.02,155.0,0.019,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
39,TGO,Africa,Togo,2020-04-12,76.0,0.0,3.0,0.0,9.18,0.0,0.36200000000000004,0.0,2549.0,299.0,0.308,0.036000000000000004,174.0,0.021,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
40,TGO,Africa,Togo,2020-04-13,76.0,0.0,3.0,0.0,9.18,0.0,0.36200000000000004,0.0,2756.0,207.0,0.33299999999999996,0.025,182.0,0.022000000000000002,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
41,TGO,Africa,Togo,2020-04-14,77.0,1.0,3.0,0.0,9.301,0.121,0.36200000000000004,0.0,2823.0,67.0,0.341,0.008,170.0,0.021,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
42,TGO,Africa,Togo,2020-04-15,77.0,0.0,3.0,0.0,9.301,0.0,0.36200000000000004,0.0,3053.0,230.0,0.369,0.027999999999999997,184.0,0.022000000000000002,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
43,TGO,Africa,Togo,2020-04-16,81.0,4.0,3.0,0.0,9.783999999999999,0.483,0.36200000000000004,0.0,3635.0,582.0,0.439,0.07,249.0,0.03,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
44,TGO,Africa,Togo,2020-04-17,81.0,0.0,5.0,2.0,9.783999999999999,0.0,0.604,0.242,3943.0,308.0,0.47600000000000003,0.037000000000000005,265.0,0.032,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
45,TGO,Africa,Togo,2020-04-18,83.0,2.0,5.0,0.0,10.026,0.242,0.604,0.0,4208.0,265.0,0.508,0.032,280.0,0.034,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
46,TGO,Africa,Togo,2020-04-19,84.0,1.0,5.0,0.0,10.146,0.121,0.604,0.0,4312.0,104.0,0.521,0.013000000000000001,252.0,0.03,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
47,TGO,Africa,Togo,2020-04-20,84.0,0.0,5.0,0.0,10.146,0.0,0.604,0.0,4398.0,86.0,0.531,0.01,235.0,0.027999999999999997,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
48,TGO,Africa,Togo,2020-04-21,84.0,0.0,6.0,1.0,10.146,0.0,0.725,0.121,4617.0,219.0,0.5579999999999999,0.026000000000000002,256.0,0.031,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
49,TGO,Africa,Togo,2020-04-22,86.0,2.0,6.0,0.0,10.388,0.242,0.725,0.0,4750.0,133.0,0.574,0.016,242.0,0.028999999999999998,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
50,TGO,Africa,Togo,2020-04-23,88.0,2.0,6.0,0.0,10.63,0.242,0.725,0.0,5040.0,290.0,0.609,0.035,201.0,0.024,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
51,TGO,Africa,Togo,2020-04-24,88.0,0.0,6.0,0.0,10.63,0.0,0.725,0.0,5262.0,222.0,0.636,0.027000000000000003,188.0,0.023,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
52,TGO,Africa,Togo,2020-04-25,90.0,2.0,6.0,0.0,10.870999999999999,0.242,0.725,0.0,5601.0,339.0,0.677,0.040999999999999995,199.0,0.024,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
53,TGO,Africa,Togo,2020-04-26,96.0,6.0,6.0,0.0,11.595999999999998,0.725,0.725,0.0,5968.0,367.0,0.721,0.044000000000000004,237.0,0.028999999999999998,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
54,TGO,Africa,Togo,2020-04-27,98.0,2.0,6.0,0.0,11.838,0.242,0.725,0.0,6158.0,190.0,0.7440000000000001,0.023,251.0,0.03,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
55,TGO,Africa,Togo,2020-04-28,99.0,1.0,6.0,0.0,11.958,0.121,0.725,0.0,6251.0,93.0,0.755,0.011000000000000001,233.0,0.027999999999999997,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
56,TGO,Africa,Togo,2020-04-29,99.0,0.0,6.0,0.0,11.958,0.0,0.725,0.0,6692.0,441.0,0.8079999999999999,0.053,277.0,0.033,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
57,TGO,Africa,Togo,2020-04-30,109.0,10.0,7.0,1.0,13.165999999999999,1.208,0.846,0.121,6899.0,207.0,0.833,0.025,266.0,0.032,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
58,TGO,Africa,Togo,2020-05-01,116.0,7.0,9.0,2.0,14.012,0.846,1.087,0.242,7117.0,218.0,0.86,0.026000000000000002,265.0,0.032,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
59,TGO,Africa,Togo,2020-05-02,123.0,7.0,9.0,0.0,14.857000000000001,0.846,1.087,0.0,,,,,240.0,0.028999999999999998,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
60,TGO,Africa,Togo,2020-05-03,123.0,0.0,9.0,0.0,14.857000000000001,0.0,1.087,0.0,7442.0,325.0,0.899,0.039,211.0,0.025,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
61,TGO,Africa,Togo,2020-05-04,124.0,1.0,9.0,0.0,14.978,0.121,1.087,0.0,7908.0,466.0,0.955,0.055999999999999994,250.0,0.03,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
62,TGO,Africa,Togo,2020-05-05,126.0,2.0,9.0,0.0,15.22,0.242,1.087,0.0,8379.0,471.0,1.012,0.057,304.0,0.037000000000000005,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
63,TGO,Africa,Togo,2020-05-06,128.0,2.0,9.0,0.0,15.460999999999999,0.242,1.087,0.0,8852.0,473.0,1.069,0.057,309.0,0.037000000000000005,tests performed,73.15,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,,6.15,0.9,14.2,10.475,0.7,61.04
