,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,TTO,North America,Trinidad and Tobago,2020-03-13,1.0,1.0,,0.0,0.715,0.715,,0.0,,,,,,,,20.37,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
1,TTO,North America,Trinidad and Tobago,2020-03-14,2.0,1.0,,0.0,1.429,0.715,,0.0,,,,,,,,31.48,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
2,TTO,North America,Trinidad and Tobago,2020-03-15,2.0,0.0,,0.0,1.429,0.0,,0.0,,,,,,,,31.48,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
3,TTO,North America,Trinidad and Tobago,2020-03-16,4.0,2.0,,0.0,2.858,1.429,,0.0,,,,,,,,45.37,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
4,TTO,North America,Trinidad and Tobago,2020-03-17,5.0,1.0,,0.0,3.573,0.715,,0.0,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
5,TTO,North America,Trinidad and Tobago,2020-03-18,7.0,2.0,,0.0,5.002,1.429,,0.0,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
6,TTO,North America,Trinidad and Tobago,2020-03-19,9.0,2.0,,0.0,6.431,1.429,,0.0,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
7,TTO,North America,Trinidad and Tobago,2020-03-20,9.0,0.0,,0.0,6.431,0.0,,0.0,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
8,TTO,North America,Trinidad and Tobago,2020-03-21,9.0,0.0,,0.0,6.431,0.0,,0.0,,,,,,,,54.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
9,TTO,North America,Trinidad and Tobago,2020-03-22,49.0,40.0,,0.0,35.013000000000005,28.581999999999997,,0.0,,,,,,,,54.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
10,TTO,North America,Trinidad and Tobago,2020-03-23,50.0,1.0,,0.0,35.727,0.715,,0.0,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
11,TTO,North America,Trinidad and Tobago,2020-03-24,51.0,1.0,,0.0,36.442,0.715,,0.0,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
12,TTO,North America,Trinidad and Tobago,2020-03-25,57.0,6.0,,0.0,40.729,4.287,,0.0,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
13,TTO,North America,Trinidad and Tobago,2020-03-26,60.0,3.0,1.0,1.0,42.873000000000005,2.144,0.715,0.715,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
14,TTO,North America,Trinidad and Tobago,2020-03-27,65.0,5.0,1.0,0.0,46.445,3.573,0.715,0.0,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
15,TTO,North America,Trinidad and Tobago,2020-03-28,66.0,1.0,2.0,1.0,47.16,0.715,1.429,0.715,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
16,TTO,North America,Trinidad and Tobago,2020-03-29,74.0,8.0,2.0,0.0,52.876000000000005,5.716,1.429,0.0,,,,,,,,65.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
17,TTO,North America,Trinidad and Tobago,2020-03-30,78.0,4.0,3.0,1.0,55.735,2.858,2.144,0.715,,,,,,,,76.85,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
18,TTO,North America,Trinidad and Tobago,2020-03-31,85.0,7.0,3.0,0.0,60.736000000000004,5.002,2.144,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
19,TTO,North America,Trinidad and Tobago,2020-04-01,87.0,2.0,3.0,0.0,62.165,1.429,2.144,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
20,TTO,North America,Trinidad and Tobago,2020-04-02,89.0,2.0,5.0,2.0,63.595,1.429,3.573,1.429,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
21,TTO,North America,Trinidad and Tobago,2020-04-03,97.0,8.0,6.0,1.0,69.311,5.716,4.287,0.715,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
22,TTO,North America,Trinidad and Tobago,2020-04-04,100.0,3.0,6.0,0.0,71.455,2.144,4.287,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
23,TTO,North America,Trinidad and Tobago,2020-04-05,103.0,3.0,6.0,0.0,73.598,2.144,4.287,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
24,TTO,North America,Trinidad and Tobago,2020-04-06,104.0,1.0,7.0,1.0,74.313,0.715,5.002,0.715,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
25,TTO,North America,Trinidad and Tobago,2020-04-07,105.0,1.0,8.0,1.0,75.027,0.715,5.716,0.715,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
26,TTO,North America,Trinidad and Tobago,2020-04-08,107.0,2.0,8.0,0.0,76.456,1.429,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
27,TTO,North America,Trinidad and Tobago,2020-04-09,107.0,0.0,8.0,0.0,76.456,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
28,TTO,North America,Trinidad and Tobago,2020-04-10,109.0,2.0,8.0,0.0,77.885,1.429,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
29,TTO,North America,Trinidad and Tobago,2020-04-11,109.0,0.0,8.0,0.0,77.885,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
30,TTO,North America,Trinidad and Tobago,2020-04-12,112.0,3.0,8.0,0.0,80.029,2.144,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
31,TTO,North America,Trinidad and Tobago,2020-04-13,113.0,1.0,8.0,0.0,80.744,0.715,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
32,TTO,North America,Trinidad and Tobago,2020-04-14,113.0,0.0,8.0,0.0,80.744,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
33,TTO,North America,Trinidad and Tobago,2020-04-15,113.0,0.0,8.0,0.0,80.744,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
34,TTO,North America,Trinidad and Tobago,2020-04-16,114.0,1.0,8.0,0.0,81.458,0.715,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
35,TTO,North America,Trinidad and Tobago,2020-04-17,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
36,TTO,North America,Trinidad and Tobago,2020-04-18,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
37,TTO,North America,Trinidad and Tobago,2020-04-19,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
38,TTO,North America,Trinidad and Tobago,2020-04-20,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
39,TTO,North America,Trinidad and Tobago,2020-04-21,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
40,TTO,North America,Trinidad and Tobago,2020-04-22,115.0,1.0,8.0,0.0,82.17299999999999,0.715,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
41,TTO,North America,Trinidad and Tobago,2020-04-23,115.0,0.0,8.0,0.0,82.17299999999999,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
42,TTO,North America,Trinidad and Tobago,2020-04-24,115.0,0.0,8.0,0.0,82.17299999999999,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
43,TTO,North America,Trinidad and Tobago,2020-04-25,115.0,0.0,8.0,0.0,82.17299999999999,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
44,TTO,North America,Trinidad and Tobago,2020-04-26,115.0,0.0,8.0,0.0,82.17299999999999,0.0,5.716,0.0,,,,,,,,79.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
45,TTO,North America,Trinidad and Tobago,2020-04-27,116.0,1.0,8.0,0.0,82.887,0.715,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
46,TTO,North America,Trinidad and Tobago,2020-04-28,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
47,TTO,North America,Trinidad and Tobago,2020-04-29,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
48,TTO,North America,Trinidad and Tobago,2020-04-30,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
49,TTO,North America,Trinidad and Tobago,2020-05-01,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
50,TTO,North America,Trinidad and Tobago,2020-05-02,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
51,TTO,North America,Trinidad and Tobago,2020-05-03,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
52,TTO,North America,Trinidad and Tobago,2020-05-04,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
53,TTO,North America,Trinidad and Tobago,2020-05-05,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
54,TTO,North America,Trinidad and Tobago,2020-05-06,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
55,TTO,North America,Trinidad and Tobago,2020-05-07,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
56,TTO,North America,Trinidad and Tobago,2020-05-08,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
57,TTO,North America,Trinidad and Tobago,2020-05-09,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
58,TTO,North America,Trinidad and Tobago,2020-05-10,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
59,TTO,North America,Trinidad and Tobago,2020-05-11,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
60,TTO,North America,Trinidad and Tobago,2020-05-12,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
61,TTO,North America,Trinidad and Tobago,2020-05-13,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
62,TTO,North America,Trinidad and Tobago,2020-05-14,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
63,TTO,North America,Trinidad and Tobago,2020-05-15,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
64,TTO,North America,Trinidad and Tobago,2020-05-16,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
65,TTO,North America,Trinidad and Tobago,2020-05-17,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
66,TTO,North America,Trinidad and Tobago,2020-05-18,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
67,TTO,North America,Trinidad and Tobago,2020-05-19,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
68,TTO,North America,Trinidad and Tobago,2020-05-20,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,90.74,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
69,TTO,North America,Trinidad and Tobago,2020-05-21,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,87.04,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
70,TTO,North America,Trinidad and Tobago,2020-05-22,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,87.04,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
71,TTO,North America,Trinidad and Tobago,2020-05-23,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,87.04,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
72,TTO,North America,Trinidad and Tobago,2020-05-24,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,87.04,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
73,TTO,North America,Trinidad and Tobago,2020-05-25,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,,,,,,,,87.04,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,10.97,,,89.443,3.0,73.51
