,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,TCA,North America,Turks and Caicos Islands,2020-03-25,1.0,1.0,,0.0,25.828000000000003,25.828000000000003,,0.0,,,,,,,,27.78,38718.0,37.312,,,,,,,,,,,,80.22
1,TCA,North America,Turks and Caicos Islands,2020-03-26,1.0,0.0,,0.0,25.828000000000003,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
2,TCA,North America,Turks and Caicos Islands,2020-03-27,2.0,1.0,,0.0,51.656000000000006,25.828000000000003,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
3,TCA,North America,Turks and Caicos Islands,2020-03-28,2.0,0.0,,0.0,51.656000000000006,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
4,TCA,North America,Turks and Caicos Islands,2020-03-29,5.0,3.0,,0.0,129.139,77.483,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
5,TCA,North America,Turks and Caicos Islands,2020-03-30,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
6,TCA,North America,Turks and Caicos Islands,2020-03-31,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
7,TCA,North America,Turks and Caicos Islands,2020-04-01,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
8,TCA,North America,Turks and Caicos Islands,2020-04-02,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
9,TCA,North America,Turks and Caicos Islands,2020-04-03,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
10,TCA,North America,Turks and Caicos Islands,2020-04-04,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
11,TCA,North America,Turks and Caicos Islands,2020-04-05,5.0,0.0,,0.0,129.139,0.0,,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
12,TCA,North America,Turks and Caicos Islands,2020-04-06,5.0,0.0,1.0,1.0,129.139,0.0,25.828000000000003,25.828000000000003,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
13,TCA,North America,Turks and Caicos Islands,2020-04-07,8.0,3.0,1.0,0.0,206.622,77.483,25.828000000000003,0.0,,,,,,,,79.63,38718.0,37.312,,,,,,,,,,,,80.22
