,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,UGA,Africa,Uganda,2020-03-22,1.0,1.0,,0.0,0.022000000000000002,0.022000000000000002,,0.0,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
1,UGA,Africa,Uganda,2020-03-23,1.0,0.0,,0.0,0.022000000000000002,0.0,,0.0,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
2,UGA,Africa,Uganda,2020-03-24,9.0,8.0,,0.0,0.19699999999999998,0.175,,0.0,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
3,UGA,Africa,Uganda,2020-03-25,9.0,0.0,,0.0,0.19699999999999998,0.0,,0.0,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
4,UGA,Africa,Uganda,2020-03-26,14.0,5.0,,0.0,0.306,0.109,,0.0,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
5,UGA,Africa,Uganda,2020-03-27,14.0,0.0,,0.0,0.306,0.0,,0.0,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
6,UGA,Africa,Uganda,2020-03-28,14.0,0.0,,0.0,0.306,0.0,,0.0,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
7,UGA,Africa,Uganda,2020-03-29,30.0,16.0,,0.0,0.6559999999999999,0.35,,0.0,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
8,UGA,Africa,Uganda,2020-03-30,33.0,3.0,,0.0,0.721,0.066,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
9,UGA,Africa,Uganda,2020-03-31,33.0,0.0,,0.0,0.721,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
10,UGA,Africa,Uganda,2020-04-01,44.0,11.0,,0.0,0.9620000000000001,0.24,,0.0,1510.0,23.0,0.033,0.001,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
11,UGA,Africa,Uganda,2020-04-02,44.0,0.0,,0.0,0.9620000000000001,0.0,,0.0,,,,,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
12,UGA,Africa,Uganda,2020-04-03,45.0,1.0,,0.0,0.9840000000000001,0.022000000000000002,,0.0,,,,,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
13,UGA,Africa,Uganda,2020-04-04,48.0,3.0,,0.0,1.0490000000000002,0.066,,0.0,,,,,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
14,UGA,Africa,Uganda,2020-04-05,48.0,0.0,,0.0,1.0490000000000002,0.0,,0.0,,,,,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
15,UGA,Africa,Uganda,2020-04-06,52.0,4.0,,0.0,1.137,0.087,,0.0,3160.0,231.0,0.069,0.005,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
16,UGA,Africa,Uganda,2020-04-07,52.0,0.0,,0.0,1.137,0.0,,0.0,3310.0,150.0,0.07200000000000001,0.003,,,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
17,UGA,Africa,Uganda,2020-04-08,52.0,0.0,,0.0,1.137,0.0,,0.0,3524.0,214.0,0.077,0.005,288.0,0.006,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
18,UGA,Africa,Uganda,2020-04-09,53.0,1.0,,0.0,1.159,0.022000000000000002,,0.0,3862.0,338.0,0.084,0.006999999999999999,289.0,0.006,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
19,UGA,Africa,Uganda,2020-04-10,53.0,0.0,,0.0,1.159,0.0,,0.0,4301.0,439.0,0.094,0.01,304.0,0.006999999999999999,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
20,UGA,Africa,Uganda,2020-04-11,53.0,0.0,,0.0,1.159,0.0,,0.0,,,,,309.0,0.006999999999999999,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
21,UGA,Africa,Uganda,2020-04-12,53.0,0.0,,0.0,1.159,0.0,,0.0,5025.0,169.0,0.11,0.004,314.0,0.006999999999999999,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
22,UGA,Africa,Uganda,2020-04-13,54.0,1.0,,0.0,1.181,0.022000000000000002,,0.0,5664.0,639.0,0.124,0.013999999999999999,358.0,0.008,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
23,UGA,Africa,Uganda,2020-04-14,54.0,0.0,,0.0,1.181,0.0,,0.0,6661.0,625.0,0.146,0.013999999999999999,479.0,0.01,samples tested,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
24,UGA,Africa,Uganda,2020-04-15,55.0,1.0,,0.0,1.202,0.022000000000000002,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
25,UGA,Africa,Uganda,2020-04-16,55.0,0.0,,0.0,1.202,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
26,UGA,Africa,Uganda,2020-04-17,55.0,0.0,,0.0,1.202,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
27,UGA,Africa,Uganda,2020-04-18,55.0,0.0,,0.0,1.202,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
28,UGA,Africa,Uganda,2020-04-19,55.0,0.0,,0.0,1.202,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
29,UGA,Africa,Uganda,2020-04-20,55.0,0.0,,0.0,1.202,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
30,UGA,Africa,Uganda,2020-04-21,56.0,1.0,,0.0,1.224,0.022000000000000002,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
31,UGA,Africa,Uganda,2020-04-22,58.0,2.0,,0.0,1.268,0.044000000000000004,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
32,UGA,Africa,Uganda,2020-04-23,61.0,3.0,,0.0,1.334,0.066,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
33,UGA,Africa,Uganda,2020-04-24,74.0,13.0,,0.0,1.618,0.284,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
34,UGA,Africa,Uganda,2020-04-25,75.0,1.0,,0.0,1.64,0.022000000000000002,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
35,UGA,Africa,Uganda,2020-04-26,75.0,0.0,,0.0,1.64,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
36,UGA,Africa,Uganda,2020-04-27,79.0,4.0,,0.0,1.7269999999999999,0.087,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
37,UGA,Africa,Uganda,2020-04-28,79.0,0.0,,0.0,1.7269999999999999,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
38,UGA,Africa,Uganda,2020-04-29,79.0,0.0,,0.0,1.7269999999999999,0.0,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
39,UGA,Africa,Uganda,2020-04-30,81.0,2.0,,0.0,1.771,0.044000000000000004,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
40,UGA,Africa,Uganda,2020-05-01,83.0,2.0,,0.0,1.815,0.044000000000000004,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
41,UGA,Africa,Uganda,2020-05-02,85.0,2.0,,0.0,1.858,0.044000000000000004,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
42,UGA,Africa,Uganda,2020-05-03,88.0,3.0,,0.0,1.9240000000000002,0.066,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
43,UGA,Africa,Uganda,2020-05-04,89.0,1.0,,0.0,1.946,0.022000000000000002,,0.0,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,,2.5,3.4,16.7,21.221999999999998,0.5,63.37
