,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,UKR,Europe,Ukraine,2020-03-04,1.0,1.0,,0.0,0.023,0.023,,0.0,,,,,,,,11.11,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
1,UKR,Europe,Ukraine,2020-03-10,,,,,,,,,,,,,,,,11.11,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
2,UKR,Europe,Ukraine,2020-03-11,,,,,,,,,,,,,,,,11.11,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
3,UKR,Europe,Ukraine,2020-03-12,,,,,,,,,,,,,,,,50.0,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
4,UKR,Europe,Ukraine,2020-03-13,3.0,2.0,,0.0,0.069,0.046,,0.0,,,,,,,,50.0,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
5,UKR,Europe,Ukraine,2020-03-14,,,,,,,,,,,,,,,,50.0,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
6,UKR,Europe,Ukraine,2020-03-15,,,,,,,,,,,,,,,,50.0,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
7,UKR,Europe,Ukraine,2020-03-16,3.0,0.0,,0.0,0.069,0.0,,0.0,,,,,,,,64.81,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
8,UKR,Europe,Ukraine,2020-03-17,5.0,2.0,,0.0,0.114,0.046,,0.0,,,,,,,,77.78,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
9,UKR,Europe,Ukraine,2020-03-18,14.0,9.0,,0.0,0.32,0.20600000000000002,,0.0,,,,,,,,88.89,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,,7.11,13.5,47.4,,8.8,72.06
