,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,URY,South America,Uruguay,2020-03-15,6.0,6.0,,0.0,1.7269999999999999,1.7269999999999999,,0.0,,,,,,,,51.85,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
1,URY,South America,Uruguay,2020-03-16,8.0,2.0,,0.0,2.303,0.5760000000000001,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
2,URY,South America,Uruguay,2020-03-17,29.0,21.0,,0.0,8.347999999999999,6.045,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
3,URY,South America,Uruguay,2020-03-18,50.0,21.0,,0.0,14.394,6.045,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
4,URY,South America,Uruguay,2020-03-19,79.0,29.0,,0.0,22.741999999999997,8.347999999999999,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
5,URY,South America,Uruguay,2020-03-20,94.0,15.0,,0.0,27.06,4.3180000000000005,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
6,URY,South America,Uruguay,2020-03-21,110.0,16.0,,0.0,31.666,4.606,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
7,URY,South America,Uruguay,2020-03-22,135.0,25.0,,0.0,38.863,7.197,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
8,URY,South America,Uruguay,2020-03-23,158.0,23.0,,0.0,45.483999999999995,6.621,,0.0,,,,,,,,54.63,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
9,URY,South America,Uruguay,2020-03-24,162.0,4.0,,0.0,46.636,1.1520000000000001,,0.0,,,,,,,,57.41,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
10,URY,South America,Uruguay,2020-03-25,189.0,27.0,,0.0,54.408,7.773,,0.0,,,,,,,,57.41,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
11,URY,South America,Uruguay,2020-03-26,217.0,28.0,,0.0,62.468999999999994,8.061,,0.0,,,,,,,,57.41,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
12,URY,South America,Uruguay,2020-03-27,238.0,21.0,,0.0,68.514,6.045,,0.0,,,,,,,,62.96,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
13,URY,South America,Uruguay,2020-03-28,238.0,0.0,,0.0,68.514,0.0,,0.0,2926.0,,0.8420000000000001,,,,tests performed,62.96,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
14,URY,South America,Uruguay,2020-03-29,259.0,21.0,,0.0,74.56,6.045,,0.0,3126.0,200.0,0.9,0.057999999999999996,,,tests performed,62.96,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
15,URY,South America,Uruguay,2020-03-30,295.0,36.0,1.0,1.0,84.92299999999999,10.364,0.28800000000000003,0.28800000000000003,3425.0,299.0,0.986,0.086,,,tests performed,62.96,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
16,URY,South America,Uruguay,2020-03-31,324.0,29.0,1.0,0.0,93.272,8.347999999999999,0.28800000000000003,0.0,3819.0,394.0,1.099,0.113,,,tests performed,62.96,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
17,URY,South America,Uruguay,2020-04-01,330.0,6.0,1.0,0.0,94.999,1.7269999999999999,0.28800000000000003,0.0,4108.0,289.0,1.183,0.083,,,tests performed,68.52,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
18,URY,South America,Uruguay,2020-04-02,341.0,11.0,2.0,1.0,98.165,3.167,0.5760000000000001,0.28800000000000003,4464.0,356.0,1.285,0.102,,,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
19,URY,South America,Uruguay,2020-04-03,359.0,18.0,4.0,2.0,103.34700000000001,5.182,1.1520000000000001,0.5760000000000001,4786.0,322.0,1.3780000000000001,0.09300000000000001,,,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
20,URY,South America,Uruguay,2020-04-04,371.0,12.0,4.0,0.0,106.802,3.455,1.1520000000000001,0.0,5063.0,277.0,1.4580000000000002,0.08,305.0,0.08800000000000001,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
21,URY,South America,Uruguay,2020-04-05,390.0,19.0,5.0,1.0,112.271,5.47,1.439,0.28800000000000003,5208.0,145.0,1.499,0.042,297.0,0.085,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
22,URY,South America,Uruguay,2020-04-06,407.0,17.0,6.0,1.0,117.165,4.894,1.7269999999999999,0.28800000000000003,5385.0,177.0,1.55,0.051,280.0,0.081,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
23,URY,South America,Uruguay,2020-04-07,411.0,4.0,6.0,0.0,118.31700000000001,1.1520000000000001,1.7269999999999999,0.0,5727.0,342.0,1.649,0.098,273.0,0.079,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
24,URY,South America,Uruguay,2020-04-08,417.0,6.0,7.0,1.0,120.044,1.7269999999999999,2.015,0.28800000000000003,6175.0,448.0,1.778,0.129,295.0,0.085,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
25,URY,South America,Uruguay,2020-04-09,426.0,9.0,7.0,0.0,122.635,2.591,2.015,0.0,6856.0,681.0,1.974,0.196,342.0,0.098,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
26,URY,South America,Uruguay,2020-04-10,433.0,7.0,7.0,0.0,124.65,2.015,2.015,0.0,7496.0,640.0,2.158,0.184,387.0,0.111,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
27,URY,South America,Uruguay,2020-04-11,446.0,13.0,7.0,0.0,128.392,3.742,2.015,0.0,8114.0,618.0,2.336,0.17800000000000002,436.0,0.126,tests performed,72.22,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,,6.93,14.0,19.9,,2.8,77.91
