,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,UZB,Asia,Uzbekistan,2020-03-16,6.0,6.0,,0.0,0.179,0.179,,0.0,,,,,,,,60.19,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
1,UZB,Asia,Uzbekistan,2020-03-17,8.0,2.0,,0.0,0.239,0.06,,0.0,,,,,,,,60.19,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
2,UZB,Asia,Uzbekistan,2020-03-18,16.0,8.0,,0.0,0.478,0.239,,0.0,,,,,,,,60.19,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
3,UZB,Asia,Uzbekistan,2020-03-19,23.0,7.0,,0.0,0.687,0.209,,0.0,,,,,,,,60.19,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
4,UZB,Asia,Uzbekistan,2020-03-20,23.0,0.0,,0.0,0.687,0.0,,0.0,,,,,,,,60.19,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
5,UZB,Asia,Uzbekistan,2020-03-21,33.0,10.0,,0.0,0.986,0.299,,0.0,,,,,,,,63.89,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
6,UZB,Asia,Uzbekistan,2020-03-22,33.0,0.0,,0.0,0.986,0.0,,0.0,,,,,,,,63.89,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
7,UZB,Asia,Uzbekistan,2020-03-23,46.0,13.0,,0.0,1.374,0.38799999999999996,,0.0,,,,,,,,72.22,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
8,UZB,Asia,Uzbekistan,2020-03-24,49.0,3.0,,0.0,1.464,0.09,,0.0,,,,,,,,80.56,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
9,UZB,Asia,Uzbekistan,2020-03-25,55.0,6.0,,0.0,1.643,0.179,,0.0,,,,,,,,80.56,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
10,UZB,Asia,Uzbekistan,2020-03-26,65.0,10.0,,0.0,1.942,0.299,,0.0,,,,,,,,80.56,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
11,UZB,Asia,Uzbekistan,2020-03-27,83.0,18.0,,0.0,2.48,0.5379999999999999,,0.0,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
12,UZB,Asia,Uzbekistan,2020-03-28,104.0,21.0,,0.0,3.1069999999999998,0.627,,0.0,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
13,UZB,Asia,Uzbekistan,2020-03-29,133.0,29.0,1.0,1.0,3.9739999999999998,0.866,0.03,0.03,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
14,UZB,Asia,Uzbekistan,2020-03-30,145.0,12.0,1.0,0.0,4.332,0.359,0.03,0.0,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
15,UZB,Asia,Uzbekistan,2020-03-31,149.0,4.0,2.0,1.0,4.452,0.12,0.06,0.03,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
16,UZB,Asia,Uzbekistan,2020-04-01,173.0,24.0,2.0,0.0,5.169,0.7170000000000001,0.06,0.0,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
17,UZB,Asia,Uzbekistan,2020-04-02,187.0,14.0,2.0,0.0,5.587000000000001,0.418,0.06,0.0,,,,,,,,90.74,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,,7.57,1.3,24.7,,4.0,71.72
