,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,VEN,South America,Venezuela,2020-03-15,10.0,10.0,,0.0,0.35200000000000004,0.35200000000000004,,0.0,,,,,,,,51.85,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
1,VEN,South America,Venezuela,2020-03-16,15.0,5.0,,0.0,0.528,0.17600000000000002,,0.0,,,,,,,,72.22,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
2,VEN,South America,Venezuela,2020-03-17,33.0,18.0,,0.0,1.161,0.633,,0.0,,,,,,,,79.63,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
3,VEN,South America,Venezuela,2020-03-18,33.0,0.0,,0.0,1.161,0.0,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
4,VEN,South America,Venezuela,2020-03-19,33.0,0.0,,0.0,1.161,0.0,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
5,VEN,South America,Venezuela,2020-03-20,33.0,0.0,,0.0,1.161,0.0,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
6,VEN,South America,Venezuela,2020-03-21,36.0,3.0,,0.0,1.266,0.106,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
7,VEN,South America,Venezuela,2020-03-22,36.0,0.0,,0.0,1.266,0.0,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
8,VEN,South America,Venezuela,2020-03-23,36.0,0.0,,0.0,1.266,0.0,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
9,VEN,South America,Venezuela,2020-03-24,84.0,48.0,,0.0,2.9539999999999997,1.6880000000000002,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
10,VEN,South America,Venezuela,2020-03-25,91.0,7.0,,0.0,3.2,0.24600000000000002,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
11,VEN,South America,Venezuela,2020-03-26,106.0,15.0,,0.0,3.728,0.528,,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
12,VEN,South America,Venezuela,2020-03-27,107.0,1.0,1.0,1.0,3.763,0.035,0.035,0.035,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
13,VEN,South America,Venezuela,2020-03-28,119.0,12.0,1.0,0.0,4.185,0.42200000000000004,0.035,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
14,VEN,South America,Venezuela,2020-03-29,119.0,0.0,1.0,0.0,4.185,0.0,0.035,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
15,VEN,South America,Venezuela,2020-03-30,119.0,0.0,1.0,0.0,4.185,0.0,0.035,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
16,VEN,South America,Venezuela,2020-03-31,135.0,16.0,3.0,2.0,4.748,0.563,0.106,0.07,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
17,VEN,South America,Venezuela,2020-04-01,135.0,0.0,3.0,0.0,4.748,0.0,0.106,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
18,VEN,South America,Venezuela,2020-04-02,143.0,8.0,3.0,0.0,5.029,0.281,0.106,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
19,VEN,South America,Venezuela,2020-04-03,144.0,1.0,3.0,0.0,5.064,0.035,0.106,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
20,VEN,South America,Venezuela,2020-04-04,144.0,0.0,3.0,0.0,5.064,0.0,0.106,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
21,VEN,South America,Venezuela,2020-04-05,144.0,0.0,5.0,2.0,5.064,0.0,0.17600000000000002,0.07,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
22,VEN,South America,Venezuela,2020-04-06,148.0,4.0,5.0,0.0,5.205,0.141,0.17600000000000002,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
23,VEN,South America,Venezuela,2020-04-07,159.0,11.0,5.0,0.0,5.5920000000000005,0.387,0.17600000000000002,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
24,VEN,South America,Venezuela,2020-04-08,166.0,7.0,7.0,2.0,5.837999999999999,0.24600000000000002,0.24600000000000002,0.07,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
25,VEN,South America,Venezuela,2020-04-09,167.0,1.0,8.0,1.0,5.872999999999999,0.035,0.281,0.035,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
26,VEN,South America,Venezuela,2020-04-10,171.0,4.0,9.0,1.0,6.013999999999999,0.141,0.317,0.035,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
27,VEN,South America,Venezuela,2020-04-11,175.0,4.0,9.0,0.0,6.154,0.141,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
28,VEN,South America,Venezuela,2020-04-12,175.0,0.0,9.0,0.0,6.154,0.0,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
29,VEN,South America,Venezuela,2020-04-13,181.0,6.0,9.0,0.0,6.365,0.21100000000000002,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
30,VEN,South America,Venezuela,2020-04-14,189.0,8.0,9.0,0.0,6.647,0.281,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
31,VEN,South America,Venezuela,2020-04-15,193.0,4.0,9.0,0.0,6.787000000000001,0.141,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
32,VEN,South America,Venezuela,2020-04-16,197.0,4.0,9.0,0.0,6.928,0.141,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
33,VEN,South America,Venezuela,2020-04-17,204.0,7.0,9.0,0.0,7.1739999999999995,0.24600000000000002,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
34,VEN,South America,Venezuela,2020-04-18,227.0,23.0,9.0,0.0,7.983,0.809,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
35,VEN,South America,Venezuela,2020-04-19,227.0,0.0,9.0,0.0,7.983,0.0,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
36,VEN,South America,Venezuela,2020-04-20,256.0,29.0,9.0,0.0,9.003,1.02,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
37,VEN,South America,Venezuela,2020-04-21,256.0,0.0,9.0,0.0,9.003,0.0,0.317,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
38,VEN,South America,Venezuela,2020-04-22,285.0,29.0,10.0,1.0,10.023,1.02,0.35200000000000004,0.035,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
39,VEN,South America,Venezuela,2020-04-23,288.0,3.0,10.0,0.0,10.128,0.106,0.35200000000000004,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
40,VEN,South America,Venezuela,2020-04-24,298.0,10.0,10.0,0.0,10.48,0.35200000000000004,0.35200000000000004,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
41,VEN,South America,Venezuela,2020-04-25,318.0,20.0,10.0,0.0,11.183,0.703,0.35200000000000004,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
42,VEN,South America,Venezuela,2020-04-26,323.0,5.0,10.0,0.0,11.359000000000002,0.17600000000000002,0.35200000000000004,0.0,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,,6.47,,,,0.8,72.06
