,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,YEM,Asia,Yemen,2020-04-10,1.0,1.0,,0.0,0.034,0.034,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
1,YEM,Asia,Yemen,2020-04-11,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
2,YEM,Asia,Yemen,2020-04-12,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
3,YEM,Asia,Yemen,2020-04-13,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
4,YEM,Asia,Yemen,2020-04-14,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
5,YEM,Asia,Yemen,2020-04-15,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
6,YEM,Asia,Yemen,2020-04-16,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
7,YEM,Asia,Yemen,2020-04-17,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
8,YEM,Asia,Yemen,2020-04-18,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
9,YEM,Asia,Yemen,2020-04-19,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
10,YEM,Asia,Yemen,2020-04-20,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
11,YEM,Asia,Yemen,2020-04-21,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
12,YEM,Asia,Yemen,2020-04-22,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
13,YEM,Asia,Yemen,2020-04-23,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
14,YEM,Asia,Yemen,2020-04-24,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
15,YEM,Asia,Yemen,2020-04-25,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
16,YEM,Asia,Yemen,2020-04-26,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
17,YEM,Asia,Yemen,2020-04-27,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
18,YEM,Asia,Yemen,2020-04-28,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
19,YEM,Asia,Yemen,2020-04-29,1.0,0.0,,0.0,0.034,0.0,,0.0,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
20,YEM,Asia,Yemen,2020-04-30,6.0,5.0,,0.0,0.201,0.168,,0.0,,,,,,,,52.78,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
21,YEM,Asia,Yemen,2020-05-01,6.0,0.0,2.0,2.0,0.201,0.0,0.067,0.067,,,,,,,,58.33,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
22,YEM,Asia,Yemen,2020-05-02,7.0,1.0,2.0,0.0,0.235,0.034,0.067,0.0,,,,,,,,58.33,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,,5.35,7.6,29.2,49.542,0.7,66.12
