,Code,Country,Total Cases,Total Deaths
0,AFG,Afghanistan,40833.0,1514.0
1,ALA,Åland Islands,0,0
2,ALB,Albania,19157.0,477.0
3,DZA,Algeria,56143.0,1914.0
4,ASM,American Samoa,0,0
5,AND,Andorra,4038.0,69.0
6,AGO,Angola,9026.0,267.0
7,AIA,Anguilla,3.0,0.0
8,ATA,Antarctica,0,0
9,ATG,Antigua and Barbuda,124.0,3.0
10,ARG,Argentina,1090576.0,28896.0
11,ARM,Armenia,78810.0,1196.0
12,ABW,Aruba,4420.0,36.0
13,AUS,Australia,27520.0,905.0
14,AUT,Austria,82536.0,984.0
15,AZE,Azerbaijan,49959.0,671.0
16,BHS,Bahamas,6410.0,132.0
17,BHR,Bahrain,80255.0,312.0
18,BGD,Bangladesh,398815.0,5803.0
19,BRB,Barbados,227.0,7.0
20,BLR,Belarus,92823.0,957.0
21,BEL,Belgium,318945.0,10733.0
22,BLZ,Belize,3145.0,50.0
23,BEN,Benin,2557.0,41.0
24,BMU,Bermuda,191.0,9.0
25,BTN,Bhutan,342.0,0.0
26,BOL,Bolivia,140853.0,8645.0
27,BIH,Bosnia and Herzegovina,40893.0,1086.0
28,BWA,Botswana,5923.0,21.0
29,BVT,Bouvet Island,0,0
30,BRA,Brazil,5394128.0,157134.0
31,IOT,British Indian Ocean Territory,0,0
32,BRN,Brunei Darussalam,148.0,3.0
33,BGR,Bulgaria,37889.0,1094.0
34,BFA,Burkina Faso,2451.0,65.0
35,BDI,Burundi,556.0,1.0
36,KHM,Cambodia,287.0,0.0
37,CMR,Cameroon,21570.0,425.0
38,CAN,Canada,216104.0,9946.0
39,CPV,Cape Verde,8396.0,94.0
40,CYM,Cayman Islands,239.0,1.0
41,CAF,Central African Republic,4862.0,62.0
42,TCD,Chad,1437.0,96.0
43,CHL,Chile,502063.0,13944.0
44,CHN,China,91151.0,4739.0
45,CXR,Christmas Island,0,0
46,CCK,Cocos (Keeling) Islands,0,0
47,COL,Colombia,1015885.0,30154.0
48,COM,Comoros,517.0,7.0
49,COG,Congo,5253.0,92.0
50,COD,"Congo, the Democratic Republic of the",11142.0,304.0
51,COK,Cook Islands,0,0
52,CRI,Costa Rica,103088.0,1282.0
53,CIV,Côte d'Ivoire,20470.0,122.0
54,HRV,Croatia,36380.0,437.0
55,CUB,Cuba,6566.0,128.0
56,CYP,Cyprus,3545.0,25.0
57,CZE,Czech Republic,258097.0,2201.0
58,DNK,Denmark,40356.0,702.0
59,DJI,Djibouti,5536.0,61.0
60,DMA,Dominica,38.0,0.0
61,DOM,Dominican Republic,124527.0,2223.0
62,ECU,Ecuador,161635.0,12553.0
63,EGY,Egypt,106540.0,6199.0
64,SLV,El Salvador,32585.0,953.0
65,GNQ,Equatorial Guinea,5079.0,83.0
66,ERI,Eritrea,461.0,0.0
67,EST,Estonia,4411.0,73.0
68,ETH,Ethiopia,93343.0,1426.0
69,FLK,Falkland Islands (Malvinas),13.0,0.0
70,FRO,Faroe Islands,490.0,0.0
71,FJI,Fiji,33.0,2.0
72,FIN,Finland,14848.0,353.0
73,FRA,France,1138507.0,34761.0
74,GUF,French Guiana,0,0
75,PYF,French Polynesia,5797.0,20.0
